"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/2/22","企業グランド",1,"表",0,0,1,1,1,1,1,"長久保滉成","左","NTT東日本","飯山志夢","左","ENEOS",0,0,"000",0,0,0,"スライダー","曲がる系",128,3,1,"",0,1,1,,"フライ","左飛","","L",7,0,0,0,0,0,1,0,0,0,"2026/02/22 09:57:40","大柿廉太郎",0,"","","","","","",187,98,41,224
"2026/2/22","企業グランド",1,"表",0,0,1,2,2,1,1,"長久保滉成","左","NTT東日本","境野峻介","左","ENEOS",0,0,"000",1,0,0,"ストレート","真直ぐ系",136,15,0,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,1,0,1,0,"2026/02/22 09:58:13","大柿廉太郎",0,"","","","","セーフティーバント構え","",211,242,,
"2026/2/22","企業グランド",1,"表",0,0,1,2,3,2,1,"長久保滉成","左","NTT東日本","境野峻介","左","ENEOS",0,0,"000",1,0,1,"カーブ","曲がる系",114,14,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,1,1,1,0,"2026/02/22 09:58:26","大柿廉太郎",0,"","","","","","",268,49,,
"2026/2/22","企業グランド",1,"表",0,0,1,2,4,3,1,"長久保滉成","左","NTT東日本","境野峻介","左","ENEOS",0,0,"000",1,1,1,"チェンジアップ","落ちる系",130,18,0,"空振り",0,0,0,,"",,"","",0,0,0,0,0,0,1,1,2,0,"2026/02/22 09:58:35","大柿廉太郎",0,"","","","","","",144,33,,
"2026/2/22","企業グランド",1,"表",0,0,1,2,5,4,1,"長久保滉成","左","NTT東日本","境野峻介","左","ENEOS",0,0,"000",1,1,2,"チェンジアップ","落ちる系",131,8,1,"",0,0,1,,"ゴロ","一ゴ","C","CR",3,0,0,0,0,0,2,0,0,0,"2026/02/22 09:58:48","大柿廉太郎",0,"","","","","","",92,167,79,31
"2026/2/22","企業グランド",1,"表",0,0,1,3,6,1,1,"長久保滉成","左","NTT東日本","川口凌","左","ENEOS",0,0,"000",2,0,0,"ストレート","真直ぐ系",138,2,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,2,0,1,0,"2026/02/22 09:59:28","大柿廉太郎",0,"","","","","","",195,143,,
"2026/2/22","企業グランド",1,"表",0,0,1,3,7,2,1,"長久保滉成","左","NTT東日本","川口凌","左","ENEOS",0,0,"000",2,0,1,"スライダー","曲がる系",128,12,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,2,1,1,0,"2026/02/22 09:59:36","大柿廉太郎",0,"","","","","","",273,122,,
"2026/2/22","企業グランド",1,"表",0,0,1,3,8,3,1,"長久保滉成","左","NTT東日本","川口凌","左","ENEOS",0,0,"000",2,1,1,"ストレート","真直ぐ系",138,1,1,"ファウル",0,0,0,,"フライ",,"C","L",0,0,0,0,0,0,2,1,2,0,"2026/02/22 09:59:45","大柿廉太郎",0,"","","","","","",203,234,-43,-16
"2026/2/22","企業グランド",1,"表",0,0,1,3,9,4,1,"長久保滉成","左","NTT東日本","川口凌","左","ENEOS",0,0,"000",2,1,2,"チェンジアップ","落ちる系",132,23,0,"ファウル",0,0,0,,"ゴロ",,"C","L",0,0,0,0,0,0,2,1,2,0,"2026/02/22 10:00:03","大柿廉太郎",0,"","","","","","",40,137,-43,-2
"2026/2/22","企業グランド",1,"表",0,0,1,3,10,5,1,"長久保滉成","左","NTT東日本","川口凌","左","ENEOS",0,0,"000",2,1,2,"ストレート","真直ぐ系",138,16,0,"",0,0,1,,"ゴロ","二ゴ","B","CR",4,0,0,0,0,0,3,0,0,0,"2026/02/22 10:00:24","大柿廉太郎",0,"","","","","","",223,53,107,75
"2026/2/22","企業グランド",1,"裏",0,0,1,1,1,1,1,"加藤三範","左","ENEOS","道原慧","左","NTT東日本",0,0,"000",0,0,0,"ストレート","真直ぐ系",135,21,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,0,1,0,0,"2026/02/22 10:02:47","有馬諒",0,"","","","","","",45,243,,
"2026/2/22","企業グランド",1,"裏",0,0,1,1,2,2,1,"加藤三範","左","ENEOS","道原慧","左","NTT東日本",0,0,"000",0,1,0,"ストレート","真直ぐ系",136,2,1,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,0,0,"2026/02/22 10:02:57","有馬諒",0,"","","","","","",219,177,,
