"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/2/27","企業グランド",1,"表",0,0,1,1,1,1,1,"土屋大和","右","日本製鉄鹿島","猿渡颯","左","ENEOS",0,0,"000",0,0,0,"スライダー","曲がる系",123,7,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,0,0,1,0,"2026/02/27 10:32:29","揚村彰斗",0,"","","","","","",115,215,,
"2026/2/27","企業グランド",1,"表",0,0,1,1,2,2,1,"土屋大和","右","日本製鉄鹿島","猿渡颯","左","ENEOS",0,0,"000",0,0,1,"ストレート","真直ぐ系",137,18,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,1,0,"2026/02/27 10:32:41","揚村彰斗",0,"","","","","","",168,10,,
"2026/2/27","企業グランド",1,"表",0,0,1,1,3,3,1,"土屋大和","右","日本製鉄鹿島","猿渡颯","左","ENEOS",0,0,"000",0,1,1,"スプリット","落ちる系",136,3,1,"",0,0,1,,"ゴロ","遊ゴ","C","CL",6,0,0,0,0,0,1,0,0,0,"2026/02/27 10:33:09","揚村彰斗",0,"","","","","","",212,107,47,102
"2026/2/27","企業グランド",1,"表",0,0,1,2,4,1,1,"土屋大和","右","日本製鉄鹿島","境野峻介","左","ENEOS",0,0,"000",1,0,0,"ストレート","真直ぐ系",142,10,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,1,1,0,0,"2026/02/27 10:33:44","揚村彰斗",0,"","","","","","",248,298,,
"2026/2/27","企業グランド",1,"表",0,0,1,2,5,2,1,"土屋大和","右","日本製鉄鹿島","境野峻介","左","ENEOS",0,0,"000",1,1,0,"スライダー","曲がる系",125,2,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,1,1,1,0,"2026/02/27 10:33:59","揚村彰斗",0,"","","","","","",202,128,,
"2026/2/27","企業グランド",1,"表",0,0,1,2,6,3,1,"土屋大和","右","日本製鉄鹿島","境野峻介","左","ENEOS",0,0,"000",1,1,1,"スプリット","落ちる系",124,16,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,1,2,1,0,"2026/02/27 10:34:15","揚村彰斗",0,"","","","","","",214,21,,
"2026/2/27","企業グランド",1,"表",0,0,1,2,7,4,1,"土屋大和","右","日本製鉄鹿島","境野峻介","左","ENEOS",0,0,"000",1,2,1,"ツーシーム","真直ぐ系",137,16,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,1,3,1,0,"2026/02/27 10:34:28","揚村彰斗",0,"","","","","","",208,24,,
"2026/2/27","企業グランド",1,"表",0,0,1,2,8,5,1,"土屋大和","右","日本製鉄鹿島","境野峻介","左","ENEOS",0,0,"000",1,3,1,"ストレート","真直ぐ系",143,8,1,"ファウル",0,0,0,,"ゴロ",,"","R",0,0,0,0,0,0,1,3,2,0,"2026/02/27 10:34:50","揚村彰斗",0,"","","","","","",86,135,60,-30
"2026/2/27","企業グランド",1,"表",0,0,1,2,9,6,1,"土屋大和","右","日本製鉄鹿島","境野峻介","左","ENEOS",0,0,"000",1,3,2,"ストレート","真直ぐ系",142,1,1,"空振り",0,0,1,,"","空三振","","",2,0,0,0,0,0,2,0,0,0,"2026/02/27 10:35:19","揚村彰斗",0,"","","","","","",210,226,,
"2026/2/27","企業グランド",1,"表",0,0,1,3,10,1,1,"土屋大和","右","日本製鉄鹿島","川口凌","左","ENEOS",0,0,"000",2,0,0,"ツーシーム","真直ぐ系",136,12,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,2,1,0,0,"2026/02/27 10:35:48","揚村彰斗",0,"","","","","","",246,132,,
"2026/2/27","企業グランド",1,"表",0,0,1,3,11,2,1,"土屋大和","右","日本製鉄鹿島","川口凌","左","ENEOS",0,0,"000",2,1,0,"スライダー","曲がる系",126,4,1,"ファウル",0,0,0,,"ゴロ",,"","R",0,0,0,0,0,0,2,1,1,0,"2026/02/27 10:36:02","揚村彰斗",0,"","","","","","",144,237,70,-30
"2026/2/27","企業グランド",1,"表",0,0,1,3,12,3,1,"土屋大和","右","日本製鉄鹿島","川口凌","左","ENEOS",0,0,"000",2,1,1,"スライダー","曲がる系",127,4,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,2,1,2,0,"2026/02/27 10:36:33","揚村彰斗",0,"","","","","","",144,215,,
"2026/2/27","企業グランド",1,"表",0,0,1,3,13,4,1,"土屋大和","右","日本製鉄鹿島","川口凌","左","ENEOS",0,0,"000",2,1,2,"スプリット","落ちる系",0,3,1,"",0,0,1,,"ゴロ","遊ゴ","","CL",6,0,0,0,0,0,3,0,0,0,"2026/02/27 10:36:48","揚村彰斗",0,"","","","","","",213,91,75,112
"2026/2/27","企業グランド",1,"裏",0,0,1,1,1,1,1,"加藤三範","左","ENEOS","田崎誠也","左","日本製鉄鹿島",0,0,"000",0,0,0,"ストレート","真直ぐ系",131,3,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,0,0,1,0,"2026/02/27 10:39:25","植田響介",0,"","","","","","",226,101,,
"2026/2/27","企業グランド",1,"裏",0,0,1,1,2,2,1,"加藤三範","左","ENEOS","田崎誠也","左","日本製鉄鹿島",0,0,"000",0,0,1,"ストレート","真直ぐ系",128,3,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,0,0,2,0,"2026/02/27 10:39:36","植田響介",0,"","","","","","",211,97,,
"2026/2/27","企業グランド",1,"裏",0,0,1,1,3,3,1,"加藤三範","左","ENEOS","田崎誠也","左","日本製鉄鹿島",0,0,"000",0,0,2,"ストレート","真直ぐ系",131,12,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,2,0,"2026/02/27 10:39:48","植田響介",0,"","","","","","",246,133,,
