"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/3/7","明治神宮野球場",1,"表",0,0,1,1,1,1,1,"加藤三範","左","ENEOS","福島大輝","右","西濃運輸",0,0,"000",0,0,0,"ストレート","真直ぐ系",140,7,1,"ファウル",0,1,0,,"フライ",,"B","R",0,0,0,0,0,0,0,0,1,0,"2026/03/07 08:59:50","有馬諒",0,"","","","","","",78,186,0,-39
"2026/3/7","明治神宮野球場",1,"表",0,0,1,1,2,2,1,"加藤三範","左","ENEOS","福島大輝","右","西濃運輸",0,0,"000",0,0,1,"ストレート","真直ぐ系",141,2,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,0,0,2,0,"2026/03/07 09:00:06","有馬諒",0,"","","","","","",221,150,,
"2026/3/7","明治神宮野球場",1,"表",0,0,1,1,3,3,1,"加藤三範","左","ENEOS","福島大輝","右","西濃運輸",0,0,"000",0,0,2,"チェンジアップ","落ちる系",124,8,1,"",0,0,1,,"フライ","右飛","B","R",9,0,0,0,0,0,1,0,0,0,"2026/03/07 09:00:21","有馬諒",0,"","","","","","",93,175,241,69
"2026/3/7","明治神宮野球場",1,"表",0,0,1,2,4,1,1,"加藤三範","左","ENEOS","原田大輔","左","西濃運輸",0,0,"000",1,0,0,"ストレート","真直ぐ系",140,19,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,1,1,0,0,"2026/03/07 09:00:55","有馬諒",0,"","","","","","",102,250,,
"2026/3/7","明治神宮野球場",1,"表",0,0,1,2,5,2,1,"加藤三範","左","ENEOS","原田大輔","左","西濃運輸",0,0,"000",1,1,0,"ストレート","真直ぐ系",138,7,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,1,1,1,0,"2026/03/07 09:01:05","有馬諒",0,"","","","","","",99,187,,
"2026/3/7","明治神宮野球場",1,"表",0,0,1,2,6,3,1,"加藤三範","左","ENEOS","原田大輔","左","西濃運輸",0,0,"000",1,1,1,"スライダー","曲がる系",119,4,1,"",0,0,1,,"フライ","右２","A","CR",9,0,0,0,0,0,1,0,0,0,"2026/03/07 09:01:17","有馬諒",0,"","","","","","",144,196,250,127
"2026/3/7","明治神宮野球場",1,"表",0,0,1,3,7,1,1,"加藤三範","左","ENEOS","野崎大地","右","西濃運輸",1,1,"020",1,0,0,"スライダー","曲がる系",115,3,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,1,0,1,0,"2026/03/07 09:02:18","有馬諒",0,"","","","","","",186,108,,
"2026/3/7","明治神宮野球場",1,"表",0,0,1,3,8,2,1,"加藤三範","左","ENEOS","野崎大地","右","西濃運輸",1,1,"020",1,0,1,"ストレート","真直ぐ系",139,16,0,"ファウル",0,0,0,,"フライ",,"B","R",0,0,0,0,0,0,1,0,2,0,"2026/03/07 09:02:36","有馬諒",0,"","","","","","",208,53,11,-44
"2026/3/7","明治神宮野球場",1,"表",0,0,1,3,9,3,1,"加藤三範","左","ENEOS","野崎大地","右","西濃運輸",1,1,"020",1,0,2,"スライダー","曲がる系",121,16,0,"ファウル",0,0,0,,"フライ",,"A","L",0,0,0,0,0,0,1,0,2,0,"2026/03/07 09:03:05","有馬諒",0,"","","","","","",180,50,-37,247
"2026/3/7","明治神宮野球場",1,"表",0,0,1,3,10,4,1,"加藤三範","左","ENEOS","野崎大地","右","西濃運輸",1,1,"020",1,0,2,"ストレート","真直ぐ系",141,9,1,"",0,0,1,,"ゴロ","二ゴ","B","CR",4,0,0,0,0,0,2,0,0,0,"2026/03/07 09:03:40","有馬諒",0,"","","","","","",99,116,98,53
"2026/3/7","明治神宮野球場",1,"表",0,0,1,4,11,1,1,"加藤三範","左","ENEOS","小中健蔵","左","西濃運輸",1,1,"003",2,0,0,"ストレート","真直ぐ系",142,13,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,2,1,0,0,"2026/03/07 09:04:50","有馬諒",0,"","","","","","",258,113,,
"2026/3/7","明治神宮野球場",1,"表",0,0,1,4,12,2,1,"加藤三範","左","ENEOS","小中健蔵","左","西濃運輸",1,1,"003",2,1,0,"スライダー","曲がる系",121,14,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,2,2,0,0,"2026/03/07 09:05:04","有馬諒",0,"","","","","","",244,25,,
"2026/3/7","明治神宮野球場",1,"表",0,0,1,4,13,3,1,"加藤三範","左","ENEOS","小中健蔵","左","西濃運輸",1,1,"003",2,2,0,"ストレート","真直ぐ系",139,6,1,"ファウル",0,0,0,,"フライ",,"B","L",0,0,0,0,0,0,2,2,1,0,"2026/03/07 09:05:24","有馬諒",0,"","","","","","",175,110,-40,-13
"2026/3/7","明治神宮野球場",1,"表",0,0,1,4,14,4,1,"加藤三範","左","ENEOS","小中健蔵","左","西濃運輸",1,1,"003",2,2,1,"ストレート","真直ぐ系",138,17,0,"",0,0,1,,"フライ","中飛","B","CL",8,0,0,0,0,0,3,0,0,0,"2026/03/07 09:05:44","有馬諒",0,"","","","","","",177,254,91,179
"2026/3/7","明治神宮野球場",1,"裏",0,0,1,1,1,1,1,"摺石達哉","左","西濃運輸","猿渡颯","左","ENEOS",0,0,"000",0,0,0,"ストレート","真直ぐ系",143,20,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,0,1,0,0,"2026/03/07 09:08:00","城野達哉",0,"","","","","","",113,34,,
"2026/3/7","明治神宮野球場",1,"裏",0,0,1,1,2,2,1,"摺石達哉","左","西濃運輸","猿渡颯","左","ENEOS",0,0,"000",0,1,0,"ストレート","真直ぐ系",140,16,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,0,0,"2026/03/07 09:08:10","城野達哉",0,"","","","","","",218,29,,
"2026/3/7","明治神宮野球場",1,"裏",0,0,1,1,3,3,1,"摺石達哉","左","西濃運輸","猿渡颯","左","ENEOS",0,0,"000",0,2,0,"スライダー","曲がる系",122,20,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,3,0,0,"2026/03/07 09:08:25","城野達哉",0,"","","","","","",108,38,,
"2026/3/7","明治神宮野球場",1,"裏",0,0,1,1,4,4,1,"摺石達哉","左","西濃運輸","猿渡颯","左","ENEOS",0,0,"000",0,3,0,"ストレート","真直ぐ系",142,3,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,0,3,1,0,"2026/03/07 09:08:41","城野達哉",0,"","","","","","",199,87,,
"2026/3/7","明治神宮野球場",1,"裏",0,0,1,1,5,5,1,"摺石達哉","左","西濃運輸","猿渡颯","左","ENEOS",0,0,"000",0,3,1,"ストレート","真直ぐ系",141,18,0,"ボール",0,0,1,,"","四球","","",0,0,0,0,0,0,0,0,0,0,"2026/03/07 09:08:52","城野達哉",0,"","","","","","",127,30,,
"2026/3/7","明治神宮野球場",1,"裏",0,0,1,2,6,1,1,"摺石達哉","左","西濃運輸","川口凌","左","ENEOS",1,0,"100",0,0,0,"ストレート","真直ぐ系",140,5,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,0,0,1,0,"2026/03/07 09:09:40","城野達哉",0,"","","","","","",122,160,,
"2026/3/7","明治神宮野球場",1,"裏",0,0,1,2,7,2,1,"摺石達哉","左","西濃運輸","川口凌","左","ENEOS",1,0,"100",0,0,1,"スライダー","曲がる系",121,23,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,1,0,"2026/03/07 09:09:56","城野達哉",0,"","","","","","",31,147,,
"2026/3/7","明治神宮野球場",1,"裏",0,0,1,2,8,3,1,"摺石達哉","左","西濃運輸","川口凌","左","ENEOS",1,0,"100",0,1,1,"ストレート","真直ぐ系",144,2,1,"",0,0,1,,"フライ","遊邪飛","B","L",6,0,0,0,0,0,1,0,0,0,"2026/03/07 09:10:15","城野達哉",0,"","","","","","",215,165,-43,141
"2026/3/7","明治神宮野球場",1,"裏",0,0,1,3,9,1,1,"摺石達哉","左","西濃運輸","境野峻介","左","ENEOS",1,0,"100",1,0,0,"ストレート","真直ぐ系",143,10,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,1,1,0,0,"2026/03/07 09:11:03","城野達哉",0,"","","","","","",261,276,,
"2026/3/7","明治神宮野球場",1,"裏",0,0,1,3,10,2,1,"摺石達哉","左","西濃運輸","境野峻介","左","ENEOS",1,0,"100",1,1,0,"ストレート","真直ぐ系",143,3,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,1,1,1,0,"2026/03/07 09:11:19","城野達哉",0,"","","","","","",200,115,,
