"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/3/8","明治神宮野球場",1,"表",0,0,1,1,1,1,1,"林翔大","右","ENEOS","杉崎成","右","JR東日本",0,0,"000",0,0,0,"ストレート","真直ぐ系",0,12,0,"",0,1,1,,"フライ","一邪飛","B","R",3,0,0,0,0,0,1,0,0,0,"2026/03/08 08:59:37","有馬諒",0,"","","","","","",241,133,194,-39
"2026/3/8","明治神宮野球場",1,"表",0,0,1,2,2,1,1,"林翔大","右","ENEOS","杉崎成輝","左","JR東日本",0,0,"000",1,0,0,"ストレート","真直ぐ系",141,22,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,1,1,0,0,"2026/03/08 09:00:14","有馬諒",0,"","","","","","",19,204,,
"2026/3/8","明治神宮野球場",1,"表",0,0,1,2,3,2,1,"林翔大","右","ENEOS","杉崎成輝","左","JR東日本",0,0,"000",1,0,1,"ストレート","真直ぐ系",141,3,1,"ボール",0,0,0,,"フライ",,"B","L",0,0,0,0,0,0,1,1,1,0,"2026/03/08 09:00:26","有馬諒",0,"","","","","","",191,116,-40,55
"2026/3/8","明治神宮野球場",1,"表",0,0,1,2,4,3,1,"林翔大","右","ENEOS","杉崎成輝","左","JR東日本",0,0,"000",1,1,1,"ストレート","真直ぐ系",140,6,1,"ファウル",0,0,0,,"フライ",,"B","L",0,0,0,0,0,0,1,1,2,0,"2026/03/08 09:00:54","有馬諒",0,"","","","","","",177,113,-39,4
"2026/3/8","明治神宮野球場",1,"表",0,0,1,2,5,4,1,"林翔大","右","ENEOS","杉崎成輝","左","JR東日本",0,0,"000",1,1,2,"チェンジアップ","落ちる系",135,3,1,"",0,0,1,,"フライ","中飛","B","CL",8,0,0,0,0,0,2,0,0,0,"2026/03/08 09:01:18","有馬諒",0,"","","","","","",191,102,107,209
"2026/3/8","明治神宮野球場",1,"表",0,0,1,3,6,1,1,"林翔大","右","ENEOS","山内慧","右","JR東日本",0,0,"000",2,0,0,"ストレート","真直ぐ系",143,11,0,"ファウル",0,1,0,,"フライ",,"C","R",0,0,0,0,0,0,2,0,1,0,"2026/03/08 09:01:51","有馬諒",0,"","","","","","",240,193,-12,-42
"2026/3/8","明治神宮野球場",1,"表",0,0,1,3,7,2,1,"林翔大","右","ENEOS","山内慧","右","JR東日本",0,0,"000",2,0,1,"スライダー","曲がる系",128,18,0,"ファウル",0,0,0,,"フライ",,"B","R",0,0,0,0,0,0,2,0,2,0,"2026/03/08 09:02:11","有馬諒",0,"","","","","","",153,38,21,-41
"2026/3/8","明治神宮野球場",1,"表",0,0,1,3,8,3,1,"林翔大","右","ENEOS","山内慧","右","JR東日本",0,0,"000",2,0,2,"ストレート","真直ぐ系",141,22,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,2,1,2,0,"2026/03/08 09:02:35","有馬諒",0,"","","","","","",30,219,,
"2026/3/8","明治神宮野球場",1,"表",0,0,1,3,9,4,1,"林翔大","右","ENEOS","山内慧","右","JR東日本",0,0,"000",2,1,2,"チェンジアップ","落ちる系",133,3,1,"",0,0,1,,"フライ","二飛","C","R",4,0,0,0,0,0,3,0,0,0,"2026/03/08 09:02:50","有馬諒",0,"","","","","","",197,95,158,47
"2026/3/8","明治神宮野球場",1,"裏",0,0,1,1,1,1,1,"児玉悠紀","左","JR東日本","猿渡颯","左","ENEOS",0,0,"000",0,0,0,"ストレート","真直ぐ系",140,3,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,0,0,1,0,"2026/03/08 09:05:09","岩本晧多",0,"","","","","","",191,116,,
