"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/3/9","大田スタジアム",1,"表",0,0,1,1,1,1,1,"石本涼人","左","YBSホールディングス","猿渡颯","左","ENEOS",0,0,"000",0,0,0,"ストレート","真直ぐ系",140,16,0,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,0,0,1,0,"2026/03/09 13:38:44","秋山颯士朗",0,"","","","","","",201,47,,
"2026/3/9","大田スタジアム",1,"表",0,0,1,1,2,2,1,"石本涼人","左","YBSホールディングス","猿渡颯","左","ENEOS",0,0,"000",0,0,1,"ツーシーム","真直ぐ系",132,8,1,"ファウル",0,0,0,,"フライ",,"B","R",0,0,0,0,0,0,0,0,2,0,"2026/03/09 13:38:56","秋山颯士朗",0,"","","","","","",83,174,-30,-30
"2026/3/9","大田スタジアム",1,"表",0,0,1,1,3,3,1,"石本涼人","左","YBSホールディングス","猿渡颯","左","ENEOS",0,0,"000",0,0,2,"ストレート","真直ぐ系",143,8,1,"ファウル",0,0,0,,"フライ",,"B","L",0,0,0,0,0,0,0,0,2,0,"2026/03/09 13:39:20","秋山颯士朗",0,"","","","","","",97,159,-40,-6
"2026/3/9","大田スタジアム",1,"表",0,0,1,1,4,4,1,"石本涼人","左","YBSホールディングス","猿渡颯","左","ENEOS",0,0,"000",0,0,2,"ストレート","真直ぐ系",144,8,1,"ファウル",0,0,0,,"フライ",,"B","L",0,0,0,0,0,0,0,0,2,0,"2026/03/09 13:39:36","秋山颯士朗",0,"","","","","","",103,150,-34,-3
"2026/3/9","大田スタジアム",1,"表",0,0,1,1,5,5,1,"石本涼人","左","YBSホールディングス","猿渡颯","左","ENEOS",0,0,"000",0,0,2,"ストレート","真直ぐ系",143,21,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,2,0,"2026/03/09 13:39:58","秋山颯士朗",0,"","","","","","",62,297,,
"2026/3/9","大田スタジアム",1,"表",0,0,1,1,6,6,1,"石本涼人","左","YBSホールディングス","猿渡颯","左","ENEOS",0,0,"000",0,1,2,"スライダー","曲がる系",124,2,1,"ファウル",0,0,0,,"フライ",,"B","L",0,0,0,0,0,0,0,1,2,0,"2026/03/09 13:40:13","秋山颯士朗",0,"","","","","","",196,139,-31,4
"2026/3/9","大田スタジアム",1,"表",0,0,1,1,7,7,1,"石本涼人","左","YBSホールディングス","猿渡颯","左","ENEOS",0,0,"000",0,1,2,"スライダー","曲がる系",130,9,1,"ファウル",0,0,0,,"フライ",,"C","L",0,0,0,0,0,0,0,1,2,0,"2026/03/09 13:40:37","秋山颯士朗",0,"","","","","","",114,107,-37,1
"2026/3/9","大田スタジアム",1,"表",0,0,1,1,8,8,1,"石本涼人","左","YBSホールディングス","猿渡颯","左","ENEOS",0,0,"000",0,1,2,"ストレート","真直ぐ系",142,4,1,"ファウル",0,0,0,,"フライ",,"B","L",0,0,0,0,0,0,0,1,2,0,"2026/03/09 13:41:04","秋山颯士朗",0,"","","","","","",138,196,-40,-30
"2026/3/9","大田スタジアム",1,"表",0,0,1,1,9,9,1,"石本涼人","左","YBSホールディングス","猿渡颯","左","ENEOS",0,0,"000",0,1,2,"スライダー","曲がる系",123,22,0,"",0,0,1,,"","死球","","",0,0,0,0,0,0,0,0,0,0,"2026/03/09 13:41:27","秋山颯士朗",0,"","","","","","",34,198,,
"2026/3/9","大田スタジアム",1,"表",0,0,1,2,10,1,1,"石本涼人","左","YBSホールディングス","川口凌","左","ENEOS",1,0,"100",0,0,0,"ストレート","真直ぐ系",141,4,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,0,0,1,0,"2026/03/09 13:42:12","秋山颯士朗",0,"","","","","","",154,201,,
"2026/3/9","大田スタジアム",1,"表",0,0,1,2,11,2,1,"石本涼人","左","YBSホールディングス","川口凌","左","ENEOS",1,0,"100",0,0,1,"スライダー","曲がる系",128,3,1,"",0,0,1,,"ゴロ","二併","C","CR",4,0,0,0,0,0,2,0,0,0,"2026/03/09 13:42:32","秋山颯士朗",0,"","","","","","",179,99,119,41
