"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/3/17","等々力球場",1,"表",0,0,1,1,1,1,1,"砂川羅杏","右","日産自動車","猿渡颯","左","ENEOS",0,0,"000",0,0,0,"カットボール","曲がる系",127,9,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,0,0,1,0,"2026/03/17 10:00:24","比嘉久人",0,"","","","","","",98,83,,
"2026/3/17","等々力球場",1,"表",0,0,1,1,2,2,1,"砂川羅杏","右","日産自動車","猿渡颯","左","ENEOS",0,0,"000",0,0,1,"ストレート","真直ぐ系",139,20,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,1,0,"2026/03/17 10:00:35","比嘉久人",0,"","","","","","",78,61,,
"2026/3/17","等々力球場",1,"表",0,0,1,1,3,3,1,"砂川羅杏","右","日産自動車","猿渡颯","左","ENEOS",0,0,"000",0,1,1,"ストレート","真直ぐ系",139,9,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,2,0,"2026/03/17 10:00:46","比嘉久人",0,"","","","","","",89,83,,
"2026/3/17","等々力球場",1,"表",0,0,1,1,4,4,1,"砂川羅杏","右","日産自動車","猿渡颯","左","ENEOS",0,0,"000",0,1,2,"ストレート","真直ぐ系",140,23,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,2,0,"2026/03/17 10:01:01","比嘉久人",0,"","","","","","",43,122,,
"2026/3/17","等々力球場",1,"表",0,0,1,1,5,5,1,"砂川羅杏","右","日産自動車","猿渡颯","左","ENEOS",0,0,"000",0,2,2,"スプリット","落ちる系",127,16,0,"",0,0,1,,"ゴロ","中安","C","C",8,0,0,0,0,0,0,0,0,0,"2026/03/17 10:01:17","比嘉久人",0,"","","","","","",209,45,147,139
"2026/3/17","等々力球場",1,"表",0,0,1,2,6,1,1,"砂川羅杏","右","日産自動車","境野峻介","左","ENEOS",1,0,"100",0,0,0,"ストレート","真直ぐ系",138,10,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,0,1,0,0,"2026/03/17 10:01:59","比嘉久人",0,"","","","","","",248,264,,
"2026/3/17","等々力球場",1,"表",0,0,1,2,7,2,1,"砂川羅杏","右","日産自動車","境野峻介","左","ENEOS",1,0,"100",0,1,0,"シンカー","落ちる系",113,6,1,"",0,0,1,,"ゴロ","捕ゴ","C","C",2,0,0,0,0,0,1,0,0,0,"2026/03/17 10:02:21","比嘉久人",0,"","","","","打ち→バント構え/バント/バント失敗","",148,74,24,24
"2026/3/17","等々力球場",1,"表",0,0,1,3,8,1,1,"砂川羅杏","右","日産自動車","飯山志夢","左","ENEOS",1,0,"100",1,0,0,"スプリット","落ちる系",125,3,1,"空振り",0,1,0,,"",,"","",0,0,0,0,0,0,1,0,1,0,"2026/03/17 10:03:10","比嘉久人",0,"","","","","","",213,69,,
"2026/3/17","等々力球場",1,"表",0,0,1,3,9,2,1,"砂川羅杏","右","日産自動車","飯山志夢","左","ENEOS",1,0,"100",1,0,1,"ストレート","真直ぐ系",138,8,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,1,0,2,0,"2026/03/17 10:03:31","比嘉久人",0,"","","","","","",82,133,,
"2026/3/17","等々力球場",1,"表",0,0,1,3,10,3,1,"砂川羅杏","右","日産自動車","飯山志夢","左","ENEOS",1,0,"100",1,0,2,"ストレート","真直ぐ系",139,17,0,"空振り",0,0,1,,"","空三振","","",2,0,0,0,0,0,2,0,0,0,"2026/03/17 10:03:55","比嘉久人",0,"","","","","","",124,277,,
"2026/3/17","等々力球場",1,"表",0,0,1,4,10,0,1,"砂川羅杏","右","日産自動車","山田陸人","右","ENEOS",1,0,"100",2,0,0,"","",0,0,0,"",0,0,0,,"",,"","",0,0,0,0,0,0,2,0,0,1,"2026/03/17 10:04:27","比嘉久人",0,"","","","","","",,,,
"2026/3/17","等々力球場",1,"表",0,0,1,4,11,1,1,"砂川羅杏","右","日産自動車","山田陸人","右","ENEOS",1,0,"100",2,0,0,"ストレート","真直ぐ系",139,21,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,2,1,0,0,"2026/03/17 10:04:43","比嘉久人",0,"","","","","","",54,317,,
"2026/3/17","等々力球場",1,"表",0,0,1,4,12,2,1,"砂川羅杏","右","日産自動車","山田陸人","右","ENEOS",1,0,"100",2,1,0,"ストレート","真直ぐ系",139,10,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,2,2,0,0,"2026/03/17 10:05:01","比嘉久人",0,"","","","","","",277,241,,
"2026/3/17","等々力球場",1,"表",0,0,1,4,13,3,1,"砂川羅杏","右","日産自動車","山田陸人","右","ENEOS",1,0,"100",2,2,0,"カットボール","曲がる系",126,5,1,"",0,0,1,,"フライ","中飛","A","CL",8,0,0,0,0,0,3,0,0,0,"2026/03/17 10:05:20","比嘉久人",0,"","","","","","",151,128,143,233
"2026/3/17","等々力球場",1,"裏",0,0,1,1,1,1,1,"加藤三範","左","ENEOS","宮川怜","左","日産自動車",0,0,"000",0,0,0,"ストレート","真直ぐ系",136,9,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,0,0,1,0,"2026/03/17 10:07:50","有馬諒",0,"","","","","","",77,90,,
"2026/3/17","等々力球場",1,"裏",0,0,1,1,2,2,1,"加藤三範","左","ENEOS","宮川怜","左","日産自動車",0,0,"000",0,0,1,"ストレート","真直ぐ系",136,16,0,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,0,0,2,0,"2026/03/17 10:08:01","有馬諒",0,"","","","","","",223,47,,
"2026/3/17","等々力球場",1,"裏",0,0,1,1,3,3,1,"加藤三範","左","ENEOS","宮川怜","左","日産自動車",0,0,"000",0,0,2,"ストレート","真直ぐ系",137,17,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,2,0,"2026/03/17 10:08:13","有馬諒",0,"","","","","","",159,289,,
"2026/3/17","等々力球場",1,"裏",0,0,1,1,4,4,1,"加藤三範","左","ENEOS","宮川怜","左","日産自動車",0,0,"000",0,1,2,"カットボール","曲がる系",125,14,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,2,0,"2026/03/17 10:08:28","有馬諒",0,"","","","","","",245,47,,
"2026/3/17","等々力球場",1,"裏",0,0,1,1,5,5,1,"加藤三範","左","ENEOS","宮川怜","左","日産自動車",0,0,"000",0,2,2,"ストレート","真直ぐ系",136,3,1,"",0,0,1,,"ゴロ","二安","","C",4,0,0,0,0,0,0,0,0,0,"2026/03/17 10:08:39","有馬諒",0,"","","","","","",194,87,113,90
"2026/3/17","等々力球場",1,"裏",0,0,1,2,6,1,1,"加藤三範","左","ENEOS","田中雄大","左","日産自動車",1,0,"100",0,0,0,"ツーシーム","真直ぐ系",134,19,0,"ファウル",0,1,0,,"フライ",,"C","L",0,0,0,0,0,0,0,0,1,0,"2026/03/17 10:09:21","有馬諒",0,"","","","","打ち→バント構え/バント/バントファウル","",68,263,-42,-4
"2026/3/17","等々力球場",1,"裏",0,0,1,2,7,2,1,"加藤三範","左","ENEOS","田中雄大","左","日産自動車",1,0,"100",0,0,1,"スライダー","曲がる系",121,10,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,1,0,"2026/03/17 10:09:48","有馬諒",0,"","","","","打ち→バント構え","",293,275,,
"2026/3/17","等々力球場",1,"裏",0,0,1,2,8,3,1,"加藤三範","左","ENEOS","田中雄大","左","日産自動車",1,0,"100",0,1,1,"ストレート","真直ぐ系",134,3,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,2,0,"2026/03/17 10:10:08","有馬諒",0,"","","","","打ち→バント構え","",220,72,,
"2026/3/17","等々力球場",1,"裏",0,0,1,2,9,4,1,"加藤三範","左","ENEOS","田中雄大","左","日産自動車",1,0,"100",0,1,2,"ストレート","真直ぐ系",139,2,1,"ファウル",0,0,0,,"ライナー",,"B","L",0,0,0,0,0,0,0,1,2,0,"2026/03/17 10:10:32","有馬諒",0,"","","","","","",201,179,-37,19
"2026/3/17","等々力球場",1,"裏",0,0,1,2,10,5,1,"加藤三範","左","ENEOS","田中雄大","左","日産自動車",1,0,"100",0,1,2,"カットボール","曲がる系",123,15,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,2,0,"2026/03/17 10:10:59","有馬諒",0,"","","","","","",232,278,,
"2026/3/17","等々力球場",1,"裏",0,0,1,2,11,6,1,"加藤三範","左","ENEOS","田中雄大","左","日産自動車",1,0,"100",0,2,2,"ストレート","真直ぐ系",135,12,0,"ファウル",0,0,0,,"フライ",,"C","L",0,0,0,0,0,0,0,2,2,0,"2026/03/17 10:11:19","有馬諒",0,"","","","","","",241,149,-36,1
"2026/3/17","等々力球場",1,"裏",0,0,1,2,12,7,1,"加藤三範","左","ENEOS","田中雄大","左","日産自動車",1,0,"100",0,2,2,"スライダー","曲がる系",116,6,1,"ファウル",0,0,0,,"フライ",,"C","L",0,0,0,0,0,0,0,2,2,0,"2026/03/17 10:11:45","有馬諒",0,"","","","","ヒットエンドラン","",153,114,-42,136
