"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/3/18","等々力球場",1,"表",0,0,1,1,1,1,1,"浅野駿吾","右","東芝","飯山志夢","左","ENEOS",0,0,"000",0,0,0,"ストレート","真直ぐ系",145,10,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,0,1,0,0,"2026/03/18 10:00:43","田邊広大",0,"","","","","","",259,329,,
"2026/3/18","等々力球場",1,"表",0,0,1,1,2,2,1,"浅野駿吾","右","東芝","飯山志夢","左","ENEOS",0,0,"000",0,1,0,"スライダー","曲がる系",127,7,1,"ファウル",0,0,0,,"ゴロ",,"C","L",0,0,0,0,0,0,0,1,1,0,"2026/03/18 10:00:54","田邊広大",0,"","","","","","",119,193,-11,-9
"2026/3/18","等々力球場",1,"表",0,0,1,1,3,3,1,"浅野駿吾","右","東芝","飯山志夢","左","ENEOS",0,0,"000",0,1,1,"スライダー","曲がる系",128,3,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,2,0,"2026/03/18 10:01:16","田邊広大",0,"","","","","","",200,114,,
"2026/3/18","等々力球場",1,"表",0,0,1,1,4,4,1,"浅野駿吾","右","東芝","飯山志夢","左","ENEOS",0,0,"000",0,1,2,"ストレート","真直ぐ系",144,9,1,"",0,0,1,,"ライナー","右安","A","CR",9,0,0,0,0,0,0,0,0,0,"2026/03/18 10:01:31","田邊広大",0,"","","","","","",105,93,178,84
"2026/3/18","等々力球場",1,"表",0,0,1,2,5,1,1,"浅野駿吾","右","東芝","猿渡颯","左","ENEOS",1,0,"100",0,0,0,"ストレート","真直ぐ系",144,3,1,"",0,1,1,,"ゴロ","投犠打","C","C",1,0,0,0,0,0,1,0,0,0,"2026/03/18 10:02:13","田邊広大",0,"","","","","打ち→バント構え/バント","",199,107,28,36
"2026/3/18","等々力球場",1,"表",0,0,1,3,6,1,1,"浅野駿吾","右","東芝","山田陸人","右","ENEOS",1,1,"020",1,0,0,"ストレート","真直ぐ系",144,1,1,"ファウル",0,1,0,,"ライナー",,"C","R",0,0,0,0,0,0,1,0,1,0,"2026/03/18 10:03:14","田邊広大",0,"","","","","","",224,196,5,-43
"2026/3/18","等々力球場",1,"表",0,0,1,3,7,2,1,"浅野駿吾","右","東芝","山田陸人","右","ENEOS",1,1,"020",1,0,1,"ストレート","真直ぐ系",145,2,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,1,0,2,0,"2026/03/18 10:03:37","田邊広大",0,"","","","","","",222,171,,
"2026/3/18","等々力球場",1,"表",0,0,1,3,8,3,1,"浅野駿吾","右","東芝","山田陸人","右","ENEOS",1,1,"020",1,0,2,"スプリット","落ちる系",135,14,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,1,1,2,0,"2026/03/18 10:03:59","田邊広大",0,"","","","","","",265,26,,
"2026/3/18","等々力球場",1,"表",0,0,1,3,9,4,1,"浅野駿吾","右","東芝","山田陸人","右","ENEOS",1,1,"020",1,1,2,"スライダー","曲がる系",129,25,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,1,2,2,0,"2026/03/18 10:04:22","田邊広大",0,"","","","","","",50,22,,
"2026/3/18","等々力球場",1,"表",0,0,1,3,10,5,1,"浅野駿吾","右","東芝","山田陸人","右","ENEOS",1,1,"020",1,2,2,"スプリット","落ちる系",135,8,1,"ファウル",0,0,0,,"ライナー",,"B","L",0,0,0,0,0,0,1,2,2,0,"2026/03/18 10:04:48","田邊広大",0,"","","","","","",112,135,-21,158
"2026/3/18","等々力球場",1,"表",0,0,1,3,11,6,1,"浅野駿吾","右","東芝","山田陸人","右","ENEOS",1,1,"020",1,2,2,"スライダー","曲がる系",129,9,1,"",0,0,1,,"ゴロ","遊ゴ","B","CL",6,0,0,0,0,0,2,0,0,0,"2026/03/18 10:05:25","田邊広大",0,"","","","","","",120,110,60,107
"2026/3/18","等々力球場",1,"表",0,0,1,4,12,1,1,"浅野駿吾","右","東芝","村上裕一郎","右","ENEOS",1,1,"020",2,0,0,"カーブ","曲がる系",111,15,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,2,1,0,0,"2026/03/18 10:06:07","田邊広大",0,"","","","","","",224,308,,
"2026/3/18","等々力球場",1,"表",0,0,1,4,13,2,1,"浅野駿吾","右","東芝","村上裕一郎","右","ENEOS",1,1,"020",2,1,0,"スプリット","落ちる系",134,16,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,2,2,0,0,"2026/03/18 10:06:28","田邊広大",0,"","","","","","",187,28,,
"2026/3/18","等々力球場",1,"表",0,0,1,4,14,3,1,"浅野駿吾","右","東芝","村上裕一郎","右","ENEOS",1,1,"020",2,2,0,"ストレート","真直ぐ系",143,6,1,"",0,0,1,,"フライ","中飛","A","CL",8,0,0,0,0,0,3,0,0,0,"2026/03/18 10:06:53","田邊広大",0,"","","","","","",167,97,128,263
"2026/3/18","等々力球場",1,"裏",0,0,1,1,1,1,1,"林翔大","右","ENEOS","光本将吾","右","東芝",0,0,"000",0,0,0,"ストレート","真直ぐ系",143,9,1,"空振り",0,1,0,,"",,"","",0,0,0,0,0,0,0,0,1,0,"2026/03/18 10:09:29","有馬諒",0,"","","","","","",111,119,,
"2026/3/18","等々力球場",1,"裏",0,0,1,1,2,2,1,"林翔大","右","ENEOS","光本将吾","右","東芝",0,0,"000",0,0,1,"ストレート","真直ぐ系",143,25,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,1,0,"2026/03/18 10:09:42","有馬諒",0,"","","","","","",46,36,,
"2026/3/18","等々力球場",1,"裏",0,0,1,1,3,3,1,"林翔大","右","ENEOS","光本将吾","右","東芝",0,0,"000",0,1,1,"ストレート","真直ぐ系",146,11,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,1,0,"2026/03/18 10:09:56","有馬諒",0,"","","","","","",237,220,,
"2026/3/18","等々力球場",1,"裏",0,0,1,1,4,4,1,"林翔大","右","ENEOS","光本将吾","右","東芝",0,0,"000",0,2,1,"ストレート","真直ぐ系",146,8,1,"ファウル",0,0,0,,"フライ",,"A","R",0,0,0,0,0,0,0,2,2,0,"2026/03/18 10:10:10","有馬諒",0,"","","","","","",97,163,264,-37
"2026/3/18","等々力球場",1,"裏",0,0,1,1,5,5,1,"林翔大","右","ENEOS","光本将吾","右","東芝",0,0,"000",0,2,2,"スライダー","曲がる系",124,9,1,"",0,0,1,,"フライ","左飛","B","CL",7,0,0,0,0,0,1,0,0,0,"2026/03/18 10:10:51","有馬諒",0,"","","","","","",120,85,117,241
