"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/3/19","等々力球場",1,"表",0,0,1,1,1,1,1,"池内瞭馬","右","三菱重工East","飯山志夢","左","ENEOS",0,0,"000",0,0,0,"ストレート","真直ぐ系",143,10,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,0,1,0,0,"2026/03/19 14:07:24","印出太一",0,"","","","","","",245,257,,
"2026/3/19","等々力球場",1,"表",0,0,1,1,2,2,1,"池内瞭馬","右","三菱重工East","飯山志夢","左","ENEOS",0,0,"000",0,1,0,"ストレート","真直ぐ系",143,12,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,0,0,"2026/03/19 14:07:37","印出太一",0,"","","","","","",267,127,,
"2026/3/19","等々力球場",1,"表",0,0,1,1,3,3,1,"池内瞭馬","右","三菱重工East","飯山志夢","左","ENEOS",0,0,"000",0,2,0,"ストレート","真直ぐ系",143,5,1,"ファウル",0,0,0,,"ライナー",,"B","L",0,0,0,0,0,0,0,2,1,0,"2026/03/19 14:07:54","印出太一",0,"","","","","","",132,122,-35,-22
"2026/3/19","等々力球場",1,"表",0,0,1,1,4,4,1,"池内瞭馬","右","三菱重工East","飯山志夢","左","ENEOS",0,0,"000",0,2,1,"スライダー","曲がる系",127,2,1,"ファウル",0,0,0,,"ライナー",,"C","L",0,0,0,0,0,0,0,2,2,0,"2026/03/19 14:08:26","印出太一",0,"","","","","","",198,141,-31,-9
"2026/3/19","等々力球場",1,"表",0,0,1,1,5,5,1,"池内瞭馬","右","三菱重工East","飯山志夢","左","ENEOS",0,0,"000",0,2,2,"ストレート","真直ぐ系",144,15,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,3,2,0,"2026/03/19 14:08:51","印出太一",0,"","","","","","",211,259,,
"2026/3/19","等々力球場",1,"表",0,0,1,1,6,6,1,"池内瞭馬","右","三菱重工East","飯山志夢","左","ENEOS",0,0,"000",0,3,2,"ストレート","真直ぐ系",143,9,1,"",0,0,1,,"ゴロ","二安","C","C",4,0,0,0,0,0,0,0,0,0,"2026/03/19 14:09:13","印出太一",0,"","","","","","",67,87,105,83
"2026/3/19","等々力球場",1,"表",0,0,1,2,7,1,1,"池内瞭馬","右","三菱重工East","猿渡颯","左","ENEOS",1,0,"100",0,0,0,"ストレート","真直ぐ系",143,10,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,0,1,0,0,"2026/03/19 14:10:04","印出太一",0,"","","","","","",238,239,,
"2026/3/19","等々力球場",1,"表",0,0,1,2,8,2,1,"池内瞭馬","右","三菱重工East","猿渡颯","左","ENEOS",1,0,"100",0,1,0,"スライダー","曲がる系",128,18,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,0,0,"2026/03/19 14:10:23","印出太一",0,"","","","","","",123,34,,
"2026/3/19","等々力球場",1,"表",0,0,1,2,9,3,1,"池内瞭馬","右","三菱重工East","猿渡颯","左","ENEOS",1,0,"100",0,2,0,"ストレート","真直ぐ系",143,3,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,1,0,"2026/03/19 14:10:45","印出太一",0,"","","","","","",230,98,,
"2026/3/19","等々力球場",1,"表",0,0,1,2,10,4,1,"池内瞭馬","右","三菱重工East","猿渡颯","左","ENEOS",1,0,"100",0,2,1,"ストレート","真直ぐ系",143,2,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,2,0,"2026/03/19 14:11:08","印出太一",0,"","","","","","",230,149,,
"2026/3/19","等々力球場",1,"表",0,0,1,2,11,5,1,"池内瞭馬","右","三菱重工East","猿渡颯","左","ENEOS",1,0,"100",0,2,2,"ストレート","真直ぐ系",143,15,0,"ファウル",0,0,0,,"ライナー",,"C","L",0,0,0,0,0,0,0,2,2,0,"2026/03/19 14:11:32","印出太一",0,"","","","","","",191,246,-39,3
"2026/3/19","等々力球場",1,"表",0,0,1,2,12,6,1,"池内瞭馬","右","三菱重工East","猿渡颯","左","ENEOS",1,0,"100",0,2,2,"スプリット","落ちる系",134,12,0,"空振り",0,0,1,,"","空三振","","",2,0,0,0,0,0,1,0,0,0,"2026/03/19 14:12:03","印出太一",0,"","","","","","",258,156,,
"2026/3/19","等々力球場",1,"表",0,0,1,3,13,1,1,"池内瞭馬","右","三菱重工East","山田陸人","右","ENEOS",1,0,"100",1,0,0,"ストレート","真直ぐ系",145,2,1,"空振り",0,1,0,,"",,"","",0,0,0,0,0,0,1,0,1,0,"2026/03/19 14:12:39","印出太一",0,"","","","","","",194,159,,
"2026/3/19","等々力球場",1,"表",0,0,1,3,14,2,1,"池内瞭馬","右","三菱重工East","山田陸人","右","ENEOS",1,0,"100",1,0,1,"ストレート","真直ぐ系",143,5,1,"ファウル",0,0,0,,"フライ",,"B","R",0,0,0,0,0,0,1,0,2,0,"2026/03/19 14:13:00","印出太一",0,"","","","","","",132,132,-10,-44
"2026/3/19","等々力球場",1,"表",0,0,1,3,15,3,1,"池内瞭馬","右","三菱重工East","山田陸人","右","ENEOS",1,0,"100",1,0,2,"スライダー","曲がる系",129,8,1,"ファウル",0,0,0,,"フライ",,"B","R",0,0,0,0,0,0,1,0,2,0,"2026/03/19 14:13:31","印出太一",0,"","","","","","",65,137,11,-38
"2026/3/19","等々力球場",1,"表",0,0,1,3,16,4,1,"池内瞭馬","右","三菱重工East","山田陸人","右","ENEOS",1,0,"100",1,0,2,"ストレート","真直ぐ系",142,22,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,1,1,2,0,"2026/03/19 14:14:05","印出太一",0,"","","","","","",36,233,,
"2026/3/19","等々力球場",1,"表",0,0,1,3,17,5,1,"池内瞭馬","右","三菱重工East","山田陸人","右","ENEOS",1,0,"100",1,1,2,"スプリット","落ちる系",132,3,1,"",0,0,1,,"フライ","左安","B","CL",7,0,0,0,0,0,1,0,0,0,"2026/03/19 14:14:29","印出太一",0,"","","","","","",185,105,101,182
"2026/3/19","等々力球場",1,"表",0,0,1,4,18,1,1,"池内瞭馬","右","三菱重工East","村上裕一郎","右","ENEOS",1,1,"103",1,0,0,"スプリット","落ちる系",134,3,1,"",0,1,1,,"ゴロ","左安","B","L",7,1,1,1,0,1,1,0,0,0,"2026/03/19 14:15:26","印出太一",1,"池内瞭馬","","","","","",184,111,34,180
"2026/3/19","等々力球場",1,"表",0,1,1,5,19,1,1,"池内瞭馬","右","三菱重工East","丸山壮史","左","ENEOS",1,1,"120",1,0,0,"ストレート","真直ぐ系",142,5,1,"",0,1,1,,"フライ","右本","A","CR",0,1,3,3,0,4,1,0,0,0,"2026/03/19 14:16:15","印出太一",3,"池内瞭馬","池内瞭馬","池内瞭馬","","","",147,134,298,112
"2026/3/19","等々力球場",1,"表",0,4,1,6,20,1,1,"池内瞭馬","右","三菱重工East","植田響介","右","ENEOS",0,0,"000",1,0,0,"スライダー","曲がる系",130,25,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,4,1,1,0,0,"2026/03/19 14:17:05","印出太一",0,"","","","","","",32,25,,
"2026/3/19","等々力球場",1,"表",0,4,1,6,21,2,1,"池内瞭馬","右","三菱重工East","植田響介","右","ENEOS",0,0,"000",1,1,0,"スライダー","曲がる系",130,18,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,4,1,2,0,0,"2026/03/19 14:17:17","印出太一",0,"","","","","","",138,27,,
"2026/3/19","等々力球場",1,"表",0,4,1,6,22,3,1,"池内瞭馬","右","三菱重工East","植田響介","右","ENEOS",0,0,"000",1,2,0,"ストレート","真直ぐ系",143,8,1,"",0,0,1,,"ゴロ","二ゴ","A","CR",4,0,0,0,0,4,2,0,0,0,"2026/03/19 14:17:30","印出太一",0,"","","","","","",102,121,123,71
"2026/3/19","等々力球場",1,"表",0,4,1,7,23,1,1,"池内瞭馬","右","三菱重工East","与倉良介","左","ENEOS",0,0,"000",2,0,0,"スライダー","曲がる系",126,11,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,4,2,1,0,0,"2026/03/19 14:18:04","印出太一",0,"","","","","セーフティーバント構え","",261,209,,
"2026/3/19","等々力球場",1,"表",0,4,1,7,24,2,1,"池内瞭馬","右","三菱重工East","与倉良介","左","ENEOS",0,0,"000",2,1,0,"スライダー","曲がる系",130,25,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,4,2,2,0,0,"2026/03/19 14:18:18","印出太一",0,"","","","","セーフティーバント構え","",59,25,,
"2026/3/19","等々力球場",1,"表",0,4,1,7,25,3,1,"池内瞭馬","右","三菱重工East","与倉良介","左","ENEOS",0,0,"000",2,2,0,"ストレート","真直ぐ系",141,10,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,4,2,3,0,0,"2026/03/19 14:18:36","印出太一",0,"","","","","","",238,275,,
"2026/3/19","等々力球場",1,"表",0,4,1,7,26,4,1,"池内瞭馬","右","三菱重工East","与倉良介","左","ENEOS",0,0,"000",2,3,0,"ストレート","真直ぐ系",141,11,0,"ボール",0,0,1,,"","四球","","",0,0,0,0,0,4,2,0,0,0,"2026/03/19 14:18:49","印出太一",0,"","","","","","",253,228,,
"2026/3/19","等々力球場",1,"表",0,4,1,8,27,1,1,"池内瞭馬","右","三菱重工East","境野峻介","左","ENEOS",1,0,"100",2,0,0,"スプリット","落ちる系",133,10,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,4,2,1,0,0,"2026/03/19 14:19:34","印出太一",0,"","","","","セーフティーバント構え","",243,271,,
"2026/3/19","等々力球場",1,"表",0,4,1,8,28,2,1,"池内瞭馬","右","三菱重工East","境野峻介","左","ENEOS",1,0,"100",2,1,0,"ストレート","真直ぐ系",142,15,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,4,2,2,0,0,"2026/03/19 14:19:56","印出太一",0,"","","","","セーフティーバント構え","",214,271,,
"2026/3/19","等々力球場",1,"表",0,4,1,8,29,3,1,"池内瞭馬","右","三菱重工East","境野峻介","左","ENEOS",1,0,"100",2,2,0,"ストレート","真直ぐ系",140,11,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,4,2,3,0,0,"2026/03/19 14:20:19","印出太一",0,"","","","","","",272,238,,
"2026/3/19","等々力球場",1,"表",0,4,1,8,30,4,1,"池内瞭馬","右","三菱重工East","境野峻介","左","ENEOS",1,0,"100",2,3,0,"ストレート","真直ぐ系",141,19,0,"ボール",0,0,1,,"","四球","","",0,0,0,0,0,4,2,0,0,0,"2026/03/19 14:20:41","印出太一",0,"","","","","","",74,263,,
"2026/3/19","等々力球場",1,"表",0,4,1,9,1,1,2,"森圭名","右","三菱重工East","山田悠平","右","ENEOS",1,1,"120",2,0,0,"カーブ","曲がる系",112,20,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,4,2,1,0,0,"2026/03/19 14:23:05","印出太一",0,"","","","","","",105,19,,
"2026/3/19","等々力球場",1,"表",0,4,1,9,2,2,2,"森圭名","右","三菱重工East","山田悠平","右","ENEOS",1,1,"120",2,1,0,"カーブ","曲がる系",113,6,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,4,2,1,1,0,"2026/03/19 14:23:26","印出太一",0,"","","","","","",131,78,,
"2026/3/19","等々力球場",1,"表",0,4,1,9,3,3,2,"森圭名","右","三菱重工East","山田悠平","右","ENEOS",1,1,"120",2,1,1,"ストレート","真直ぐ系",143,8,1,"ファウル",0,0,0,,"フライ",,"A","R",0,0,0,0,0,4,2,1,2,0,"2026/03/19 14:24:04","印出太一",0,"","","","","","",101,121,201,-41
"2026/3/19","等々力球場",1,"表",0,4,1,9,4,4,2,"森圭名","右","三菱重工East","山田悠平","右","ENEOS",1,1,"120",2,1,2,"ストレート","真直ぐ系",143,22,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,4,2,2,2,0,"2026/03/19 14:24:40","印出太一",0,"","","","","","",9,200,,
"2026/3/19","等々力球場",1,"表",0,4,1,9,5,5,2,"森圭名","右","三菱重工East","山田悠平","右","ENEOS",1,1,"120",2,2,2,"スプリット","落ちる系",131,6,1,"",0,0,1,,"ゴロ","遊ゴ","C","CL",6,0,0,0,0,4,3,0,0,0,"2026/03/19 14:25:06","印出太一",0,"","","","","","",121,85,57,111
"2026/3/19","等々力球場",1,"裏",0,4,1,1,1,1,1,"小畠一心","右","ENEOS","矢野幸耶","左","三菱重工East",0,0,"000",0,0,0,"カーブ","曲がる系",113,20,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,4,0,1,0,0,"2026/03/19 14:27:30","植田響介",0,"","","","","","",64,33,,
"2026/3/19","等々力球場",1,"裏",0,4,1,1,2,2,1,"小畠一心","右","ENEOS","矢野幸耶","左","三菱重工East",0,0,"000",0,1,0,"ストレート","真直ぐ系",141,25,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,4,0,2,0,0,"2026/03/19 14:27:42","植田響介",0,"","","","","","",55,9,,
"2026/3/19","等々力球場",1,"裏",0,4,1,1,3,3,1,"小畠一心","右","ENEOS","矢野幸耶","左","三菱重工East",0,0,"000",0,2,0,"ストレート","真直ぐ系",140,9,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,4,0,2,1,0,"2026/03/19 14:27:54","植田響介",0,"","","","","","",69,98,,
"2026/3/19","等々力球場",1,"裏",0,4,1,1,4,4,1,"小畠一心","右","ENEOS","矢野幸耶","左","三菱重工East",0,0,"000",0,2,1,"スプリット","落ちる系",133,3,1,"",0,0,1,,"ゴロ","二ゴ","B","CR",4,0,0,0,0,4,1,0,0,0,"2026/03/19 14:28:06","植田響介",0,"","","","","","",184,108,117,59
"2026/3/19","等々力球場",1,"裏",0,4,1,2,5,1,1,"小畠一心","右","ENEOS","小澤周平","左","三菱重工East",0,0,"000",1,0,0,"ストレート","真直ぐ系",142,2,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,4,1,0,1,0,"2026/03/19 14:28:38","植田響介",0,"","","","","","",191,130,,
"2026/3/19","等々力球場",1,"裏",0,4,1,2,6,2,1,"小畠一心","右","ENEOS","小澤周平","左","三菱重工East",0,0,"000",1,0,1,"ストレート","真直ぐ系",140,18,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,4,1,1,1,0,"2026/03/19 14:28:50","植田響介",0,"","","","","","",139,61,,
"2026/3/19","等々力球場",1,"裏",0,4,1,2,7,3,1,"小畠一心","右","ENEOS","小澤周平","左","三菱重工East",0,0,"000",1,1,1,"ストレート","真直ぐ系",143,6,1,"",0,0,1,,"フライ","中飛","B","C",8,0,0,0,0,4,2,0,0,0,"2026/03/19 14:29:05","植田響介",0,"","","","","","",171,80,186,220
"2026/3/19","等々力球場",1,"裏",0,4,1,3,8,1,1,"小畠一心","右","ENEOS","八戸勝登","左","三菱重工East",0,0,"000",2,0,0,"スプリット","落ちる系",135,20,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,4,2,1,0,0,"2026/03/19 14:29:37","植田響介",0,"","","","","","",70,17,,
"2026/3/19","等々力球場",1,"裏",0,4,1,3,9,2,1,"小畠一心","右","ENEOS","八戸勝登","左","三菱重工East",0,0,"000",2,1,0,"ストレート","真直ぐ系",144,12,0,"ファウル",0,0,0,,"フライ",,"B","L",0,0,0,0,0,4,2,1,1,0,"2026/03/19 14:29:50","植田響介",0,"","","","","","",248,174,-37,0
"2026/3/19","等々力球場",1,"裏",0,4,1,3,10,3,1,"小畠一心","右","ENEOS","八戸勝登","左","三菱重工East",0,0,"000",2,1,1,"ストレート","真直ぐ系",145,15,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,4,2,2,1,0,"2026/03/19 14:30:06","植田響介",0,"","","","","","",206,286,,
"2026/3/19","等々力球場",1,"裏",0,4,1,3,11,4,1,"小畠一心","右","ENEOS","八戸勝登","左","三菱重工East",0,0,"000",2,2,1,"ストレート","真直ぐ系",143,2,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,4,2,2,2,0,"2026/03/19 14:30:20","植田響介",0,"","","","","","",220,153,,
