"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/4/3","ホーム球場",1,"表",0,0,1,1,1,1,1,"林翔大","右","ENEOS","高橋謙太","左","北海道ガス",0,0,"000",0,0,0,"ストレート","真直ぐ系",144,25,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,0,1,0,0,"2026/04/03 10:51:34","有馬諒",0,"","","","","","",48,38,,
"2026/4/3","ホーム球場",1,"表",0,0,1,1,2,2,1,"林翔大","右","ENEOS","高橋謙太","左","北海道ガス",0,0,"000",0,1,0,"ストレート","真直ぐ系",145,3,1,"ファウル",0,0,0,,"ゴロ",,"B","R",0,0,0,0,0,0,0,1,1,0,"2026/04/03 10:51:44","有馬諒",0,"","","","","","",186,64,165,-18
"2026/4/3","ホーム球場",1,"表",0,0,1,1,3,3,1,"林翔大","右","ENEOS","高橋謙太","左","北海道ガス",0,0,"000",0,1,1,"カーブ","曲がる系",114,6,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,2,0,"2026/04/03 10:52:06","有馬諒",0,"","","","","","",163,115,,
"2026/4/3","ホーム球場",1,"表",0,0,1,1,4,4,1,"林翔大","右","ENEOS","高橋謙太","左","北海道ガス",0,0,"000",0,1,2,"スプリット","落ちる系",138,2,1,"ファウル",0,0,0,,"ゴロ",,"B","R",0,0,0,0,0,0,0,1,2,0,"2026/04/03 10:52:23","有馬諒",0,"","","","","","",211,124,118,-26
"2026/4/3","ホーム球場",1,"表",0,0,1,1,5,5,1,"林翔大","右","ENEOS","高橋謙太","左","北海道ガス",0,0,"000",0,1,2,"カットボール","曲がる系",131,6,1,"ファウル",0,0,0,,"ゴロ",,"B","R",0,0,0,0,0,0,0,1,2,0,"2026/04/03 10:52:51","有馬諒",0,"","","","","","",126,115,29,-23
"2026/4/3","ホーム球場",1,"表",0,0,1,1,6,6,1,"林翔大","右","ENEOS","高橋謙太","左","北海道ガス",0,0,"000",0,1,2,"チェンジアップ","落ちる系",130,1,1,"",0,0,1,,"フライ","遊飛","B","CL",6,0,0,0,0,0,1,0,0,0,"2026/04/03 10:53:20","有馬諒",0,"","","","","","",196,191,100,149
"2026/4/3","ホーム球場",1,"表",0,0,1,2,7,1,1,"林翔大","右","ENEOS","長谷川寛","左","北海道ガス",0,0,"000",1,0,0,"ストレート","真直ぐ系",145,7,1,"ファウル",0,1,0,,"フライ",,"B","L",0,0,0,0,0,0,1,0,1,0,"2026/04/03 10:53:53","有馬諒",0,"","","","","","",108,202,-44,-38
"2026/4/3","ホーム球場",1,"表",0,0,1,2,8,2,1,"林翔大","右","ENEOS","長谷川寛","左","北海道ガス",0,0,"000",1,0,1,"ストレート","真直ぐ系",144,8,1,"",0,0,1,,"ライナー","右直","A","CR",9,0,0,0,0,0,2,0,0,0,"2026/04/03 10:54:11","有馬諒",0,"","","","","","",104,134,195,73
"2026/4/3","ホーム球場",1,"表",0,0,1,3,9,1,1,"林翔大","右","ENEOS","菱田万尋","左","北海道ガス",0,0,"000",2,0,0,"カーブ","曲がる系",114,3,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,2,0,1,0,"2026/04/03 10:54:43","有馬諒",0,"","","","","","",223,107,,
"2026/4/3","ホーム球場",1,"表",0,0,1,3,10,2,1,"林翔大","右","ENEOS","菱田万尋","左","北海道ガス",0,0,"000",2,0,1,"ストレート","真直ぐ系",144,2,1,"",0,0,1,,"ゴロ","二ゴ","B","C",4,0,0,0,0,0,3,0,0,0,"2026/04/03 10:54:56","有馬諒",0,"","","","","","",215,171,112,89
