"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/4/9","ホーム球場",1,"表",0,0,1,1,1,1,1,"加藤三範","左","ENEOS","福森秀太","左","セガサミー",0,0,"000",0,0,0,"スライダー","曲がる系",119,3,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,0,0,1,0,"2026/04/09 09:51:58","有馬諒",0,"","","","","","",196,100,,
"2026/4/9","ホーム球場",1,"表",0,0,1,1,2,2,1,"加藤三範","左","ENEOS","福森秀太","左","セガサミー",0,0,"000",0,0,1,"チェンジアップ","落ちる系",121,20,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,1,0,"2026/04/09 09:52:07","有馬諒",0,"","","","","","",90,29,,
"2026/4/9","ホーム球場",1,"表",0,0,1,1,3,3,1,"加藤三範","左","ENEOS","福森秀太","左","セガサミー",0,0,"000",0,1,1,"ストレート","真直ぐ系",135,2,1,"ファウル",0,0,0,,"ゴロ",,"","L",0,0,0,0,0,0,0,1,2,0,"2026/04/09 09:52:19","有馬諒",0,"","","","","","",180,171,-8,2
"2026/4/9","ホーム球場",1,"表",0,0,1,1,4,4,1,"加藤三範","左","ENEOS","福森秀太","左","セガサミー",0,0,"000",0,1,2,"スライダー","曲がる系",121,18,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,2,0,"2026/04/09 09:52:38","有馬諒",0,"","","","","","",163,13,,
"2026/4/9","ホーム球場",1,"表",0,0,1,1,5,5,1,"加藤三範","左","ENEOS","福森秀太","左","セガサミー",0,0,"000",0,2,2,"ストレート","真直ぐ系",134,7,1,"ファウル",0,0,0,,"フライ",,"C","L",0,0,0,0,0,0,0,2,2,0,"2026/04/09 09:53:00","有馬諒",0,"","","","","","",93,200,-31,168
"2026/4/9","ホーム球場",1,"表",0,0,1,1,6,6,1,"加藤三範","左","ENEOS","福森秀太","左","セガサミー",0,0,"000",0,2,2,"チェンジアップ","落ちる系",125,7,1,"ファウル",0,0,0,,"ゴロ",,"C","R",0,0,0,0,0,0,0,2,2,0,"2026/04/09 09:53:23","有馬諒",0,"","","","","","",72,196,85,-25
"2026/4/9","ホーム球場",1,"表",0,0,1,1,7,7,1,"加藤三範","左","ENEOS","福森秀太","左","セガサミー",0,0,"000",0,2,2,"スライダー","曲がる系",117,6,1,"",0,0,1,,"フライ","左飛","C","CL",7,0,0,0,0,0,1,0,0,0,"2026/04/09 09:53:40","有馬諒",0,"","","","","","",161,105,73,193
"2026/4/9","ホーム球場",1,"表",0,0,1,2,8,1,1,"加藤三範","左","ENEOS","宮浦柚基","右","セガサミー",0,0,"000",1,0,0,"ストレート","真直ぐ系",135,7,1,"空振り",0,1,0,,"",,"","",0,0,0,0,0,0,1,0,1,0,"2026/04/09 09:54:09","有馬諒",0,"","","","","","",115,236,,
"2026/4/9","ホーム球場",1,"表",0,0,1,2,9,2,1,"加藤三範","左","ENEOS","宮浦柚基","右","セガサミー",0,0,"000",1,0,1,"スライダー","曲がる系",118,4,1,"",0,0,1,,"ライナー","左安","B","L",7,0,0,0,0,0,1,0,0,0,"2026/04/09 09:54:19","有馬諒",0,"","","","","","",127,203,53,192
"2026/4/9","ホーム球場",1,"表",0,0,1,3,10,1,1,"加藤三範","左","ENEOS","北川智也","左","セガサミー",1,0,"100",1,0,0,"スライダー","曲がる系",121,3,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,1,0,1,0,"2026/04/09 09:54:56","有馬諒",0,"","","","","","",201,111,,
"2026/4/9","ホーム球場",1,"表",0,0,1,3,11,2,1,"加藤三範","左","ENEOS","北川智也","左","セガサミー",1,0,"100",1,0,1,"ストレート","真直ぐ系",135,14,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,1,1,1,0,"2026/04/09 09:55:12","有馬諒",0,"","","","","","",264,49,,
"2026/4/9","ホーム球場",1,"表",0,0,1,3,12,3,1,"加藤三範","左","ENEOS","北川智也","左","セガサミー",1,0,"100",1,1,1,"ストレート","真直ぐ系",133,13,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,1,2,1,0,"2026/04/09 09:55:32","有馬諒",0,"","","","","","",269,70,,
"2026/4/9","ホーム球場",1,"表",0,0,1,3,13,4,1,"加藤三範","左","ENEOS","北川智也","左","セガサミー",1,0,"100",1,2,1,"スライダー","曲がる系",118,1,1,"",0,0,1,,"ゴロ","二ゴ","C","CR",4,0,0,0,0,0,2,0,0,0,"2026/04/09 09:55:48","有馬諒",0,"","","","","ヒットエンドラン","",212,222,124,44
"2026/4/9","ホーム球場",1,"表",0,0,1,4,14,1,1,"加藤三範","左","ENEOS","加藤巧也","右","セガサミー",1,1,"020",2,0,0,"カーブ","曲がる系",111,9,1,"",0,1,1,,"ゴロ","遊ゴ","C","CL",6,0,0,0,0,0,3,0,0,0,"2026/04/09 09:57:02","有馬諒",0,"","","","","","",109,92,50,105
"2026/4/9","ホーム球場",1,"裏",0,0,1,1,1,1,1,"草海光貴","右","セガサミー","猿渡颯","左","ENEOS",0,0,"000",0,0,0,"ストレート","真直ぐ系",143,25,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,0,1,0,0,"2026/04/09 09:59:39","廣岡隆成",0,"","","","","","",49,60,,
"2026/4/9","ホーム球場",1,"裏",0,0,1,1,2,2,1,"草海光貴","右","セガサミー","猿渡颯","左","ENEOS",0,0,"000",0,1,0,"カットボール","曲がる系",134,15,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,0,0,"2026/04/09 09:59:50","廣岡隆成",0,"","","","","","",179,257,,
"2026/4/9","ホーム球場",1,"裏",0,0,1,1,3,3,1,"草海光貴","右","セガサミー","猿渡颯","左","ENEOS",0,0,"000",0,2,0,"ツーシーム","真直ぐ系",137,3,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,1,0,"2026/04/09 10:00:02","廣岡隆成",0,"","","","","","",205,85,,
"2026/4/9","ホーム球場",1,"裏",0,0,1,1,4,4,1,"草海光貴","右","セガサミー","猿渡颯","左","ENEOS",0,0,"000",0,2,1,"カットボール","曲がる系",135,4,1,"ファウル",0,0,0,,"フライ",,"C","L",0,0,0,0,0,0,0,2,2,0,"2026/04/09 10:00:14","廣岡隆成",0,"","","","","","",138,190,-36,151
