"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/4/14","企業グランド",1,"表",0,0,1,1,1,1,1,"林翔大","右","ENEOS","薮井幹大","右","鷺宮製作所",0,0,"000",0,0,0,"カットボール","曲がる系",138,9,1,"ファウル",0,1,0,,"ゴロ",,"C","L",0,0,0,0,0,0,0,0,1,0,"2026/04/14 11:52:28","有馬諒",0,"","","","","","",116,85,-42,29
"2026/4/14","企業グランド",1,"表",0,0,1,1,2,2,1,"林翔大","右","ENEOS","薮井幹大","右","鷺宮製作所",0,0,"000",0,0,1,"チェンジアップ","落ちる系",126,17,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,1,0,"2026/04/14 11:52:49","有馬諒",0,"","","","","","",153,248,,
"2026/4/14","企業グランド",1,"表",0,0,1,1,3,3,1,"林翔大","右","ENEOS","薮井幹大","右","鷺宮製作所",0,0,"000",0,1,1,"カーブ","曲がる系",114,9,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,2,0,"2026/04/14 11:53:03","有馬諒",0,"","","","","","",96,97,,
"2026/4/14","企業グランド",1,"表",0,0,1,1,4,4,1,"林翔大","右","ENEOS","薮井幹大","右","鷺宮製作所",0,0,"000",0,1,2,"ストレート","真直ぐ系",143,20,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,2,0,"2026/04/14 11:53:18","有馬諒",0,"","","","","","",83,43,,
"2026/4/14","企業グランド",1,"表",0,0,1,1,5,5,1,"林翔大","右","ENEOS","薮井幹大","右","鷺宮製作所",0,0,"000",0,2,2,"チェンジアップ","落ちる系",128,1,1,"",0,0,1,,"フライ","左飛","B","L",7,0,0,0,0,0,1,0,0,0,"2026/04/14 11:53:37","有馬諒",0,"","","","","","",201,184,52,180
"2026/4/14","企業グランド",1,"表",0,0,1,2,6,1,1,"林翔大","右","ENEOS","新山秀夫","右","鷺宮製作所",0,0,"000",1,0,0,"ストレート","真直ぐ系",143,6,1,"ファウル",0,1,0,,"フライ",,"B","R",0,0,0,0,0,0,1,0,1,0,"2026/04/14 11:54:12","有馬諒",0,"","","","","","",146,96,-7,-33
"2026/4/14","企業グランド",1,"表",0,0,1,2,7,2,1,"林翔大","右","ENEOS","新山秀夫","右","鷺宮製作所",0,0,"000",1,0,1,"ストレート","真直ぐ系",141,19,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,1,1,1,0,"2026/04/14 11:54:28","有馬諒",0,"","","","","","",100,240,,
"2026/4/14","企業グランド",1,"表",0,0,1,2,8,3,1,"林翔大","右","ENEOS","新山秀夫","右","鷺宮製作所",0,0,"000",1,1,1,"ストレート","真直ぐ系",142,20,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,1,2,1,0,"2026/04/14 11:54:42","有馬諒",0,"","","","","","",111,-4,,
"2026/4/14","企業グランド",1,"表",0,0,1,2,9,4,1,"林翔大","右","ENEOS","新山秀夫","右","鷺宮製作所",0,0,"000",1,2,1,"カットボール","曲がる系",139,17,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,1,3,1,0,"2026/04/14 11:55:04","有馬諒",0,"","","","","","",178,283,,
"2026/4/14","企業グランド",1,"表",0,0,1,2,10,5,1,"林翔大","右","ENEOS","新山秀夫","右","鷺宮製作所",0,0,"000",1,3,1,"ストレート","真直ぐ系",143,2,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,1,3,2,0,"2026/04/14 11:55:22","有馬諒",0,"","","","","","",213,146,,
