"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/4/15","企業グランド",1,"表",0,0,1,1,1,1,1,"臼井浩","右","東京ガス","阿部謙心","右","ENEOS",0,0,"000",0,0,0,"ストレート","真直ぐ系",141,8,1,"",0,1,1,,"ゴロ","遊ゴ","","CL",6,0,0,0,0,0,1,0,0,0,"2026/04/15 10:02:33","越川海翔",0,"","","","","","",90,140,42,104
"2026/4/15","企業グランド",1,"表",0,0,1,2,2,1,1,"臼井浩","右","東京ガス","猿渡颯","左","ENEOS",0,0,"000",1,0,0,"カーブ","曲がる系",114,5,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,1,0,1,0,"2026/04/15 10:03:10","越川海翔",0,"","","","","","",130,135,,
"2026/4/15","企業グランド",1,"表",0,0,1,2,3,2,1,"臼井浩","右","東京ガス","猿渡颯","左","ENEOS",0,0,"000",1,0,1,"ストレート","真直ぐ系",141,1,1,"ファウル",0,0,0,,"フライ",,"C","L",0,0,0,0,0,0,1,0,2,0,"2026/04/15 10:03:21","越川海翔",0,"","","","","","",207,205,-34,72
"2026/4/15","企業グランド",1,"表",0,0,1,2,4,3,1,"臼井浩","右","東京ガス","猿渡颯","左","ENEOS",0,0,"000",1,0,2,"スプリット","落ちる系",132,16,0,"空振り",0,0,1,,"","空三振","","",2,0,0,0,0,0,2,0,0,0,"2026/04/15 10:03:45","越川海翔",0,"","","","","","",198,32,,
"2026/4/15","企業グランド",1,"表",0,0,1,3,5,1,1,"臼井浩","右","東京ガス","川口凌","左","ENEOS",0,0,"000",2,0,0,"スライダー","曲がる系",125,2,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,2,0,1,0,"2026/04/15 10:04:17","越川海翔",0,"","","","","","",212,144,,
"2026/4/15","企業グランド",1,"表",0,0,1,3,6,2,1,"臼井浩","右","東京ガス","川口凌","左","ENEOS",0,0,"000",2,0,1,"ストレート","真直ぐ系",141,7,1,"ファウル",0,0,0,,"ライナー",,"C","L",0,0,0,0,0,0,2,0,2,0,"2026/04/15 10:04:29","越川海翔",0,"","","","","","",65,236,-36,34
"2026/4/15","企業グランド",1,"表",0,0,1,3,7,3,1,"臼井浩","右","東京ガス","川口凌","左","ENEOS",0,0,"000",2,0,2,"スプリット","落ちる系",128,14,0,"空振り",0,0,1,,"","空三振","","",2,0,0,0,0,0,3,0,0,0,"2026/04/15 10:04:56","越川海翔",0,"","","","","","",268,37,,
"2026/4/15","企業グランド",1,"裏",0,0,1,1,1,1,1,"小畠一心","右","ENEOS","北本一樹","右","東京ガス",0,0,"000",0,0,0,"ストレート","真直ぐ系",138,8,1,"",0,1,1,,"フライ","遊飛","C","CL",6,0,0,0,0,0,1,0,0,0,"2026/04/15 10:07:13","植田響介",0,"","","","","","",82,173,81,157
"2026/4/15","企業グランド",1,"裏",0,0,1,2,2,1,1,"小畠一心","右","ENEOS","冨岡泰宏","左","東京ガス",0,0,"000",1,0,0,"ストレート","真直ぐ系",140,2,1,"ファウル",0,1,0,,"フライ",,"C","L",0,0,0,0,0,0,1,0,1,0,"2026/04/15 10:07:44","植田響介",0,"","","","","","",200,157,-37,47
"2026/4/15","企業グランド",1,"裏",0,0,1,2,3,2,1,"小畠一心","右","ENEOS","冨岡泰宏","左","東京ガス",0,0,"000",1,0,1,"ストレート","真直ぐ系",141,2,1,"",0,0,1,,"ライナー","中２","B","CL",8,0,0,0,0,0,1,0,0,0,"2026/04/15 10:08:01","植田響介",0,"","","","","","",201,133,135,247
"2026/4/15","企業グランド",1,"裏",0,0,1,3,4,1,1,"小畠一心","右","ENEOS","藤澤涼介","右","東京ガス",1,1,"020",1,0,0,"スライダー","曲がる系",127,6,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,1,0,1,0,"2026/04/15 10:08:54","植田響介",0,"","","","","","",164,114,,
"2026/4/15","企業グランド",1,"裏",0,0,1,3,5,2,1,"小畠一心","右","ENEOS","藤澤涼介","右","東京ガス",1,1,"020",1,0,1,"スプリット","落ちる系",128,3,1,"ファウル",0,0,0,,"ゴロ",,"C","L",0,0,0,0,0,0,1,0,2,0,"2026/04/15 10:09:13","植田響介",0,"","","","","","",191,101,-38,24
"2026/4/15","企業グランド",1,"裏",0,0,1,3,6,3,1,"小畠一心","右","ENEOS","藤澤涼介","右","東京ガス",1,1,"020",1,0,2,"ストレート","真直ぐ系",138,4,1,"",0,0,1,,"フライ","二安","C","CR",4,0,0,0,0,0,1,0,0,0,"2026/04/15 10:09:46","植田響介",0,"","","","","","",148,224,174,70
"2026/4/15","企業グランド",1,"裏",0,0,1,4,7,1,1,"小畠一心","右","ENEOS","内海貴斗","左","東京ガス",1,1,"103",1,0,0,"ストレート","真直ぐ系",138,11,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,1,1,0,0,"2026/04/15 10:10:39","植田響介",0,"","","","","","",252,208,,
"2026/4/15","企業グランド",1,"裏",0,0,1,4,8,2,1,"小畠一心","右","ENEOS","内海貴斗","左","東京ガス",1,1,"103",1,1,0,"スプリット","落ちる系",129,3,1,"ファウル",0,0,0,,"フライ",,"C","L",0,0,0,0,0,0,1,1,1,0,"2026/04/15 10:10:58","植田響介",0,"","","","","","",211,102,-38,154
"2026/4/15","企業グランド",1,"裏",0,0,1,4,9,3,1,"小畠一心","右","ENEOS","内海貴斗","左","東京ガス",1,1,"103",1,1,1,"スプリット","落ちる系",132,16,0,"空振り",0,0,0,,"",,"","",0,0,0,0,0,0,1,1,2,0,"2026/04/15 10:11:27","植田響介",0,"","","","","","",193,47,,
