"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/4/17","ホーム球場",1,"表",0,0,1,1,1,1,1,"若杉晟汰","左","ENEOS","舟越秀虎","左","オールフロンティア",0,0,"000",0,0,0,"ストレート","真直ぐ系",142,15,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,0,1,0,0,"2026/04/17 12:22:34","有馬諒",0,"","","","","","",196,250,,
"2026/4/17","ホーム球場",1,"表",0,0,1,1,2,2,1,"若杉晟汰","左","ENEOS","舟越秀虎","左","オールフロンティア",0,0,"000",0,1,0,"スライダー","曲がる系",129,2,1,"ファウル",0,0,0,,"ライナー",,"C","L",0,0,0,0,0,0,0,1,1,0,"2026/04/17 12:22:45","有馬諒",0,"","","","","","",220,139,-35,14
"2026/4/17","ホーム球場",1,"表",0,0,1,1,3,3,1,"若杉晟汰","左","ENEOS","舟越秀虎","左","オールフロンティア",0,0,"000",0,1,1,"ストレート","真直ぐ系",144,5,1,"ファウル",0,0,0,,"ゴロ",,"C","L",0,0,0,0,0,0,0,1,2,0,"2026/04/17 12:23:05","有馬諒",0,"","","","","","",125,125,-27,84
"2026/4/17","ホーム球場",1,"表",0,0,1,1,4,4,1,"若杉晟汰","左","ENEOS","舟越秀虎","左","オールフロンティア",0,0,"000",0,1,2,"ストレート","真直ぐ系",144,2,1,"空振り",0,0,1,,"","空三振","","",2,0,0,0,0,0,1,0,0,0,"2026/04/17 12:23:35","有馬諒",0,"","","","","","",219,146,,
"2026/4/17","ホーム球場",1,"表",0,0,1,2,5,1,1,"若杉晟汰","左","ENEOS","利根川真吾","右","オールフロンティア",0,0,"000",1,0,0,"スライダー","曲がる系",127,8,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,1,0,1,0,"2026/04/17 12:24:04","有馬諒",0,"","","","","","",76,142,,
"2026/4/17","ホーム球場",1,"表",0,0,1,2,6,2,1,"若杉晟汰","左","ENEOS","利根川真吾","右","オールフロンティア",0,0,"000",1,0,1,"ストレート","真直ぐ系",144,17,0,"空振り",0,0,0,,"",,"","",0,0,0,0,0,0,1,0,2,0,"2026/04/17 12:24:15","有馬諒",0,"","","","","","",129,254,,
"2026/4/17","ホーム球場",1,"表",0,0,1,2,7,3,1,"若杉晟汰","左","ENEOS","利根川真吾","右","オールフロンティア",0,0,"000",1,0,2,"ストレート","真直ぐ系",145,22,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,1,1,2,0,"2026/04/17 12:24:29","有馬諒",0,"","","","","","",40,218,,
"2026/4/17","ホーム球場",1,"表",0,0,1,2,8,4,1,"若杉晟汰","左","ENEOS","利根川真吾","右","オールフロンティア",0,0,"000",1,1,2,"ストレート","真直ぐ系",144,22,0,"空振り",0,0,1,,"","空三振","","",2,0,0,0,0,0,2,0,0,0,"2026/04/17 12:24:47","有馬諒",0,"","","","","","",58,234,,
"2026/4/17","ホーム球場",1,"表",0,0,1,3,9,1,1,"若杉晟汰","左","ENEOS","野中寿真","左","オールフロンティア",0,0,"000",2,0,0,"ストレート","真直ぐ系",142,7,1,"ファウル",0,1,0,,"ライナー",,"C","L",0,0,0,0,0,0,2,0,1,0,"2026/04/17 12:25:17","有馬諒",0,"","","","","","",117,192,-39,152
"2026/4/17","ホーム球場",1,"表",0,0,1,3,10,2,1,"若杉晟汰","左","ENEOS","野中寿真","左","オールフロンティア",0,0,"000",2,0,1,"ストレート","真直ぐ系",144,2,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,2,0,2,0,"2026/04/17 12:25:40","有馬諒",0,"","","","","","",212,138,,
