"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/4/21","地方球場",1,"表",0,0,1,1,1,1,1,"林翔大","右","ENEOS","石原裕太","右","ジェイプロジェクト",0,0,"000",0,0,0,"ストレート","真直ぐ系",142,25,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,0,1,0,0,"2026/04/21 12:07:49","有馬諒",0,"","","","","","",48,26,,
"2026/4/21","地方球場",1,"表",0,0,1,1,2,2,1,"林翔大","右","ENEOS","石原裕太","右","ジェイプロジェクト",0,0,"000",0,1,0,"ストレート","真直ぐ系",141,8,1,"ファウル",0,0,0,,"フライ",,"B","R",0,0,0,0,0,0,0,1,1,0,"2026/04/21 12:08:00","有馬諒",0,"","","","","","",106,145,18,-40
"2026/4/21","地方球場",1,"表",0,0,1,1,3,3,1,"林翔大","右","ENEOS","石原裕太","右","ジェイプロジェクト",0,0,"000",0,1,1,"ストレート","真直ぐ系",141,9,1,"",0,0,1,,"フライ","右安","B","CR",9,0,0,0,0,0,0,0,0,0,"2026/04/21 12:08:28","有馬諒",0,"","","","","","",82,110,179,91
"2026/4/21","地方球場",1,"表",0,0,1,2,4,1,1,"林翔大","右","ENEOS","宮内晧生","右","ジェイプロジェクト",1,0,"100",0,0,0,"カットボール","曲がる系",137,17,0,"ファウル",0,1,0,,"ゴロ",,"C","R",0,0,0,0,0,0,0,0,1,0,"2026/04/21 12:09:05","有馬諒",0,"","","","","打ち→バント構え/バント/バントファウル","",143,262,2,-39
"2026/4/21","地方球場",1,"表",0,0,1,2,5,2,1,"林翔大","右","ENEOS","宮内晧生","右","ジェイプロジェクト",1,0,"100",0,0,1,"カットボール","曲がる系",137,9,1,"",0,0,1,,"ゴロ","捕併","C","CR",2,0,0,0,0,0,2,0,0,0,"2026/04/21 12:09:29","有馬諒",0,"","","","","バント構え/バント/バント失敗","",83,112,18,9
"2026/4/21","地方球場",1,"表",0,0,1,3,6,1,1,"林翔大","右","ENEOS","上宮田壮","左","ジェイプロジェクト",0,0,"000",2,0,0,"ストレート","真直ぐ系",143,9,1,"ファウル",0,1,0,,"フライ",,"B","L",0,0,0,0,0,0,2,0,1,0,"2026/04/21 12:10:06","有馬諒",0,"","","","","","",102,115,-33,-12
"2026/4/21","地方球場",1,"表",0,0,1,3,7,2,1,"林翔大","右","ENEOS","上宮田壮","左","ジェイプロジェクト",0,0,"000",2,0,1,"カットボール","曲がる系",137,4,1,"ファウル",0,0,0,,"フライ",,"A","R",0,0,0,0,0,0,2,0,2,0,"2026/04/21 12:10:29","有馬諒",0,"","","","","","",174,224,214,-42
"2026/4/21","地方球場",1,"表",0,0,1,3,8,3,1,"林翔大","右","ENEOS","上宮田壮","左","ジェイプロジェクト",0,0,"000",2,0,2,"カーブ","曲がる系",116,2,1,"",0,0,1,,"ゴロ","二ゴ","C","CR",4,0,0,0,0,0,3,0,0,0,"2026/04/21 12:10:54","有馬諒",0,"","","","","","",203,130,113,82
"2026/4/21","地方球場",1,"裏",0,0,1,1,1,1,1,"馬明慶太","右","ジェイプロジェクト","飯山志夢","左","ENEOS",0,0,"000",0,0,0,"ストレート","真直ぐ系",137,25,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,0,1,0,0,"2026/04/21 12:13:27","神農怜津",0,"","","","","","",55,32,,
"2026/4/21","地方球場",1,"裏",0,0,1,1,2,2,1,"馬明慶太","右","ジェイプロジェクト","飯山志夢","左","ENEOS",0,0,"000",0,1,0,"ストレート","真直ぐ系",138,6,1,"",0,0,1,,"フライ","左３","A","CL",7,0,0,0,0,0,0,0,0,0,"2026/04/21 12:13:39","神農怜津",0,"","","","","","",155,78,106,274
"2026/4/21","地方球場",1,"裏",0,0,1,2,3,1,1,"馬明慶太","右","ジェイプロジェクト","猿渡颯","左","ENEOS",1,1,"003",0,0,0,"ストレート","真直ぐ系",138,22,0,"",0,1,1,,"","死球","","",0,0,0,0,0,0,0,0,0,0,"2026/04/21 12:14:32","神農怜津",0,"","","","","","",-11,192,,
"2026/4/21","地方球場",1,"裏",0,0,1,3,4,1,1,"馬明慶太","右","ジェイプロジェクト","山田陸人","右","ENEOS",1,1,"103",0,0,0,"スライダー","曲がる系",132,20,0,"空振り",0,1,0,,"",,"","",0,0,0,0,0,0,0,0,1,0,"2026/04/21 12:15:18","神農怜津",0,"","","","","","",85,38,,
"2026/4/21","地方球場",1,"裏",0,0,1,3,5,2,1,"馬明慶太","右","ジェイプロジェクト","山田陸人","右","ENEOS",1,1,"103",0,0,1,"スライダー","曲がる系",130,3,1,"",0,0,1,,"ゴロ","三ゴ","A","L",5,0,0,0,0,0,1,0,0,0,"2026/04/21 12:15:34","神農怜津",0,"","","","","","",214,107,8,89
"2026/4/21","地方球場",1,"裏",0,0,1,4,6,1,1,"馬明慶太","右","ジェイプロジェクト","村上裕一郎","右","ENEOS",1,1,"023",1,0,0,"スライダー","曲がる系",130,4,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,1,0,1,0,"2026/04/21 12:16:19","神農怜津",0,"","","","","","",158,213,,
"2026/4/21","地方球場",1,"裏",0,0,1,4,7,2,1,"馬明慶太","右","ジェイプロジェクト","村上裕一郎","右","ENEOS",1,1,"023",1,0,1,"ストレート","真直ぐ系",139,4,1,"ファウル",0,0,0,,"ライナー",,"A","R",0,0,0,0,0,0,1,0,2,0,"2026/04/21 12:16:37","神農怜津",0,"","","","","","",147,216,216,-37
"2026/4/21","地方球場",1,"裏",0,0,1,4,8,3,1,"馬明慶太","右","ジェイプロジェクト","村上裕一郎","右","ENEOS",1,1,"023",1,0,2,"ストレート","真直ぐ系",141,5,1,"ファウル",0,0,0,,"フライ",,"B","R",0,0,0,0,0,0,1,0,2,0,"2026/04/21 12:17:03","神農怜津",0,"","","","","","",137,181,141,-44
"2026/4/21","地方球場",1,"裏",0,0,1,4,9,4,1,"馬明慶太","右","ジェイプロジェクト","村上裕一郎","右","ENEOS",1,1,"023",1,0,2,"スライダー","曲がる系",132,9,1,"",0,0,1,,"ゴロ","遊ゴ","C","CL",6,1,1,1,1,0,2,0,0,0,"2026/04/21 12:17:47","神農怜津",1,"馬明慶太","","","","","",98,114,53,104
"2026/4/21","地方球場",1,"裏",1,0,1,5,10,1,1,"馬明慶太","右","ジェイプロジェクト","丸山壮史","左","ENEOS",1,1,"003",2,0,0,"ストレート","真直ぐ系",140,8,1,"ファウル",0,1,0,,"ゴロ",,"A","R",0,0,0,0,1,0,2,0,1,0,"2026/04/21 12:18:34","神農怜津",0,"","","","","","",108,166,188,-26
"2026/4/21","地方球場",1,"裏",1,0,1,5,11,2,1,"馬明慶太","右","ジェイプロジェクト","丸山壮史","左","ENEOS",1,1,"003",2,0,1,"カーブ","曲がる系",114,10,0,"ボール",0,0,0,,"",,"","",0,0,0,0,1,0,2,1,1,0,"2026/04/21 12:19:02","神農怜津",0,"","","","","","",273,252,,
"2026/4/21","地方球場",1,"裏",1,0,1,5,12,3,1,"馬明慶太","右","ジェイプロジェクト","丸山壮史","左","ENEOS",1,1,"003",2,1,1,"ストレート","真直ぐ系",140,3,1,"",0,0,1,,"ゴロ","左安","A","L",7,1,1,1,2,0,2,0,0,0,"2026/04/21 12:19:20","神農怜津",1,"馬明慶太","","","","","",200,110,48,186
"2026/4/21","地方球場",1,"裏",2,0,1,6,13,1,1,"馬明慶太","右","ジェイプロジェクト","有馬諒","右","ENEOS",1,0,"100",2,0,0,"スプリット","落ちる系",127,16,0,"ボール",0,1,0,,"",,"","",0,0,0,0,2,0,2,1,0,0,"2026/04/21 12:20:03","神農怜津",0,"","","","","","",191,28,,
"2026/4/21","地方球場",1,"裏",2,0,1,6,14,2,1,"馬明慶太","右","ジェイプロジェクト","有馬諒","右","ENEOS",1,0,"100",2,1,0,"ストレート","真直ぐ系",137,6,1,"",0,0,1,,"フライ","中安","B","CL",8,0,0,0,2,0,2,0,0,0,"2026/04/21 12:20:20","神農怜津",0,"","","","","","",147,81,95,189
"2026/4/21","地方球場",1,"裏",2,0,1,7,15,1,1,"馬明慶太","右","ジェイプロジェクト","松浦佑星","左","ENEOS",1,1,"103",2,0,0,"スライダー","曲がる系",132,9,1,"見送り",0,1,0,,"",,"","",0,0,0,0,2,0,2,0,1,0,"2026/04/21 12:21:08","神農怜津",0,"","","","","","",110,110,,
"2026/4/21","地方球場",1,"裏",2,0,1,7,16,2,1,"馬明慶太","右","ジェイプロジェクト","松浦佑星","左","ENEOS",1,1,"103",2,0,1,"スライダー","曲がる系",129,18,0,"",0,0,1,,"ゴロ","二ゴ","C","CR",4,0,0,0,2,0,3,0,0,0,"2026/04/21 12:21:25","神農怜津",0,"","","","","","",155,52,116,54
"2026/4/21","地方球場",2,"表",2,0,1,1,9,1,1,"林翔大","右","ENEOS","須貝翔希","左","ジェイプロジェクト",0,0,"000",0,0,0,"カーブ","曲がる系",113,3,1,"ボール",0,1,0,,"",,"","",0,0,0,0,2,0,0,1,0,0,"2026/04/21 12:23:42","有馬諒",0,"","","","","","",226,111,,
"2026/4/21","地方球場",2,"表",2,0,1,1,10,2,1,"林翔大","右","ENEOS","須貝翔希","左","ジェイプロジェクト",0,0,"000",0,1,0,"ストレート","真直ぐ系",144,3,1,"",0,0,1,,"ライナー","中安","A","C",8,0,0,0,2,0,0,0,0,0,"2026/04/21 12:23:52","有馬諒",0,"","","","","","",194,80,156,148
"2026/4/21","地方球場",2,"表",2,0,1,2,11,1,1,"林翔大","右","ENEOS","木村維心","右","ジェイプロジェクト",1,0,"100",0,0,0,"カットボール","曲がる系",137,8,1,"ファウル",0,1,0,,"フライ",,"B","R",0,0,0,0,2,0,0,0,1,0,"2026/04/21 12:24:32","有馬諒",0,"","","","","","",99,121,24,-41
"2026/4/21","地方球場",2,"表",2,0,1,2,12,2,1,"林翔大","右","ENEOS","木村維心","右","ジェイプロジェクト",1,0,"100",0,0,1,"ストレート","真直ぐ系",142,22,0,"ボール",0,0,0,,"",,"","",0,0,0,0,2,0,0,1,1,0,"2026/04/21 12:24:53","有馬諒",0,"","","","","","",26,233,,
