"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/4/22","わかさスタジアム京都",1,"表",0,0,1,1,1,1,1,"高井駿丞","左","NTT西日本","飯山志夢","左","ENEOS",0,0,"000",0,0,0,"ストレート","真直ぐ系",136,2,1,"ファウル",0,1,0,,"フライ",,"B","L",0,0,0,0,0,0,0,0,1,0,"2026/04/22 12:15:31","辻本勇樹",0,"","","","","","",207,158,-35,36
"2026/4/22","わかさスタジアム京都",1,"表",0,0,1,1,2,2,1,"高井駿丞","左","NTT西日本","飯山志夢","左","ENEOS",0,0,"000",0,0,1,"カーブ","曲がる系",115,16,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,1,0,"2026/04/22 12:15:48","辻本勇樹",0,"","","","","","",222,41,,
"2026/4/22","わかさスタジアム京都",1,"表",0,0,1,1,3,3,1,"高井駿丞","左","NTT西日本","飯山志夢","左","ENEOS",0,0,"000",0,1,1,"ストレート","真直ぐ系",134,15,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,1,0,"2026/04/22 12:16:00","辻本勇樹",0,"","","","","","",231,265,,
"2026/4/22","わかさスタジアム京都",1,"表",0,0,1,1,4,4,1,"高井駿丞","左","NTT西日本","飯山志夢","左","ENEOS",0,0,"000",0,2,1,"ストレート","真直ぐ系",136,2,1,"空振り",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,2,0,"2026/04/22 12:16:14","辻本勇樹",0,"","","","","","",202,162,,
"2026/4/22","わかさスタジアム京都",1,"表",0,0,1,1,5,5,1,"高井駿丞","左","NTT西日本","飯山志夢","左","ENEOS",0,0,"000",0,2,2,"ストレート","真直ぐ系",139,1,1,"ファウル",0,0,0,,"ゴロ",,"C","R",0,0,0,0,0,0,0,2,2,0,"2026/04/22 12:16:29","辻本勇樹",0,"","","","","","",205,223,-31,-42
"2026/4/22","わかさスタジアム京都",1,"表",0,0,1,1,6,6,1,"高井駿丞","左","NTT西日本","飯山志夢","左","ENEOS",0,0,"000",0,2,2,"スライダー","曲がる系",128,16,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,3,2,0,"2026/04/22 12:16:58","辻本勇樹",0,"","","","","","",210,20,,
"2026/4/22","わかさスタジアム京都",1,"表",0,0,1,1,7,7,1,"高井駿丞","左","NTT西日本","飯山志夢","左","ENEOS",0,0,"000",0,3,2,"ストレート","真直ぐ系",139,6,1,"ファウル",0,0,0,,"ライナー",,"C","L",0,0,0,0,0,0,0,3,2,0,"2026/04/22 12:17:22","辻本勇樹",0,"","","","","","",126,118,-29,43
"2026/4/22","わかさスタジアム京都",1,"表",0,0,1,1,8,8,1,"高井駿丞","左","NTT西日本","飯山志夢","左","ENEOS",0,0,"000",0,3,2,"ストレート","真直ぐ系",136,9,1,"",0,0,1,,"ライナー","安打","B","CR",0,0,0,0,0,0,0,0,0,0,"2026/04/22 12:17:46","辻本勇樹",0,"","","","","","",79,106,208,99
"2026/4/22","わかさスタジアム京都",1,"表",0,0,1,2,9,1,1,"高井駿丞","左","NTT西日本","猿渡颯","左","ENEOS",1,0,"100",0,0,0,"スライダー","曲がる系",126,16,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,0,1,0,0,"2026/04/22 12:18:37","辻本勇樹",0,"","","","","","",223,16,,
"2026/4/22","わかさスタジアム京都",1,"表",0,0,1,2,10,2,1,"高井駿丞","左","NTT西日本","猿渡颯","左","ENEOS",1,0,"100",0,1,0,"ストレート","真直ぐ系",132,6,1,"",0,0,1,,"ゴロ","投犠打","C","CR",1,0,0,0,0,0,1,0,0,0,"2026/04/22 12:18:59","辻本勇樹",0,"","","","","バント","",173,92,41,15
"2026/4/22","わかさスタジアム京都",1,"表",0,0,1,3,11,1,1,"高井駿丞","左","NTT西日本","山田陸人","右","ENEOS",1,1,"020",1,0,0,"無指定","曲がる系",140,2,1,"",0,1,1,,"フライ","左飛","B","L",7,0,0,0,0,0,2,0,0,0,"2026/04/22 12:19:50","辻本勇樹",0,"","","","","","",227,123,36,192
