"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/4/26","わかさスタジアム京都",1,"表",0,0,1,1,1,1,1,"有村大誠","右","Honda","飯山志夢","左","ENEOS",0,0,"000",0,0,0,"ストレート","真直ぐ系",144,6,1,"ファウル",0,1,0,,"フライ",,"B","L",0,0,0,0,0,0,0,0,1,0,"2026/04/26 15:37:48","藤野隼大",0,"","","","","","",148,86,-43,11
"2026/4/26","わかさスタジアム京都",1,"表",0,0,1,1,2,2,1,"有村大誠","右","Honda","飯山志夢","左","ENEOS",0,0,"000",0,0,1,"ストレート","真直ぐ系",145,6,1,"",0,0,1,,"ゴロ","投ゴ","B","C",1,0,0,0,0,0,1,0,0,0,"2026/04/26 15:38:02","藤野隼大",0,"","","","","","",170,119,49,47
"2026/4/26","わかさスタジアム京都",1,"表",0,0,1,2,3,1,1,"有村大誠","右","Honda","猿渡颯","左","ENEOS",0,0,"000",1,0,0,"ストレート","真直ぐ系",146,20,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,1,1,0,0,"2026/04/26 15:38:32","藤野隼大",0,"","","","","","",71,18,,
"2026/4/26","わかさスタジアム京都",1,"表",0,0,1,2,4,2,1,"有村大誠","右","Honda","猿渡颯","左","ENEOS",0,0,"000",1,1,0,"カットボール","曲がる系",134,1,1,"ファウル",0,0,0,,"ライナー",,"C","L",0,0,0,0,0,0,1,1,1,0,"2026/04/26 15:38:42","藤野隼大",0,"","","","","","",219,186,-37,-17
"2026/4/26","わかさスタジアム京都",1,"表",0,0,1,2,5,3,1,"有村大誠","右","Honda","猿渡颯","左","ENEOS",0,0,"000",1,1,1,"ストレート","真直ぐ系",144,6,1,"",0,0,1,,"フライ","左飛","B","L",7,0,0,0,0,0,2,0,0,0,"2026/04/26 15:39:04","藤野隼大",0,"","","","","","",176,98,35,205
"2026/4/26","わかさスタジアム京都",1,"表",0,0,1,3,6,1,1,"有村大誠","右","Honda","山田陸人","右","ENEOS",0,0,"000",2,0,0,"カーブ","曲がる系",119,25,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,2,1,0,0,"2026/04/26 15:39:36","藤野隼大",0,"","","","","","",55,2,,
"2026/4/26","わかさスタジアム京都",1,"表",0,0,1,3,7,2,1,"有村大誠","右","Honda","山田陸人","右","ENEOS",0,0,"000",2,1,0,"カーブ","曲がる系",118,12,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,2,2,0,0,"2026/04/26 15:39:53","藤野隼大",0,"","","","","","",271,148,,
"2026/4/26","わかさスタジアム京都",1,"表",0,0,1,3,8,3,1,"有村大誠","右","Honda","山田陸人","右","ENEOS",0,0,"000",2,2,0,"ストレート","真直ぐ系",146,19,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,2,3,0,0,"2026/04/26 15:40:05","藤野隼大",0,"","","","","","",89,255,,
"2026/4/26","わかさスタジアム京都",1,"表",0,0,1,3,9,4,1,"有村大誠","右","Honda","山田陸人","右","ENEOS",0,0,"000",2,3,0,"スライダー","曲がる系",131,15,0,"ボール",0,0,1,,"","四球","","",0,0,0,0,0,0,2,0,0,0,"2026/04/26 15:40:18","藤野隼大",0,"","","","","","",183,284,,
"2026/4/26","わかさスタジアム京都",1,"表",0,0,1,4,10,1,1,"有村大誠","右","Honda","村上裕一郎","右","ENEOS",1,0,"100",2,0,0,"カットボール","曲がる系",136,20,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,2,1,0,0,"2026/04/26 15:40:57","藤野隼大",0,"","","","","","",74,13,,
