"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/5/3","企業グランド",1,"表",0,0,1,1,1,1,1,"中野大虎","右","ENEOS","北本一樹","右","東京ガス",0,0,"000",0,0,0,"スライダー","曲がる系",132,3,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,0,0,1,0,"2026/05/03 12:23:09","有馬諒",0,"","","","","","",228,63,,
"2026/5/3","企業グランド",1,"表",0,0,1,1,2,2,1,"中野大虎","右","ENEOS","北本一樹","右","東京ガス",0,0,"000",0,0,1,"ストレート","真直ぐ系",146,9,1,"ファウル",0,0,0,,"ライナー",,"B","R",0,0,0,0,0,0,0,0,2,0,"2026/05/03 12:23:22","有馬諒",0,"","","","","","",107,104,79,-40
"2026/5/3","企業グランド",1,"表",0,0,1,1,3,3,1,"中野大虎","右","ENEOS","北本一樹","右","東京ガス",0,0,"000",0,0,2,"スライダー","曲がる系",131,20,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,2,0,"2026/05/03 12:23:42","有馬諒",0,"","","","","","",92,38,,
"2026/5/3","企業グランド",1,"表",0,0,1,1,4,4,1,"中野大虎","右","ENEOS","北本一樹","右","東京ガス",0,0,"000",0,1,2,"ストレート","真直ぐ系",146,7,1,"空振り",0,0,1,,"","空三振","","",2,0,0,0,0,0,1,0,0,0,"2026/05/03 12:23:59","有馬諒",0,"","","","","","",89,194,,
"2026/5/3","企業グランド",1,"表",0,0,1,2,5,1,1,"中野大虎","右","ENEOS","冨岡泰宏","左","東京ガス",0,0,"000",1,0,0,"ストレート","真直ぐ系",143,19,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,1,1,0,0,"2026/05/03 12:24:27","有馬諒",0,"","","","","","",87,250,,
"2026/5/3","企業グランド",1,"表",0,0,1,2,6,2,1,"中野大虎","右","ENEOS","冨岡泰宏","左","東京ガス",0,0,"000",1,1,0,"ストレート","真直ぐ系",146,9,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,1,1,1,0,"2026/05/03 12:24:38","有馬諒",0,"","","","","","",78,80,,
"2026/5/3","企業グランド",1,"表",0,0,1,2,7,3,1,"中野大虎","右","ENEOS","冨岡泰宏","左","東京ガス",0,0,"000",1,1,1,"スライダー","曲がる系",134,2,1,"空振り",0,0,0,,"",,"","",0,0,0,0,0,0,1,1,2,0,"2026/05/03 12:24:54","有馬諒",0,"","","","","","",228,147,,
"2026/5/3","企業グランド",1,"表",0,0,1,2,8,4,1,"中野大虎","右","ENEOS","冨岡泰宏","左","東京ガス",0,0,"000",1,1,2,"ストレート","真直ぐ系",147,9,1,"",0,0,1,,"ゴロ","一ゴ","C","R",3,0,0,0,0,0,2,0,0,0,"2026/05/03 12:25:13","有馬諒",0,"","","","","","",96,83,90,6
"2026/5/3","企業グランド",1,"表",0,0,1,3,9,1,1,"中野大虎","右","ENEOS","藤澤涼介","右","東京ガス",0,0,"000",2,0,0,"スライダー","曲がる系",130,20,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,2,1,0,0,"2026/05/03 12:25:50","有馬諒",0,"","","","","","",81,49,,
"2026/5/3","企業グランド",1,"表",0,0,1,3,10,2,1,"中野大虎","右","ENEOS","藤澤涼介","右","東京ガス",0,0,"000",2,1,0,"スライダー","曲がる系",130,20,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,2,2,0,0,"2026/05/03 12:26:01","有馬諒",0,"","","","","","",92,15,,
