"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/5/7","北九州市民球場",1,"表",0,0,1,1,1,1,1,"加藤三範","左","ENEOS","片山遼大","左","梅田学園",0,0,"000",0,0,0,"スライダー","曲がる系",122,3,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,0,0,1,0,"2026/05/07 08:56:56","神里陸",0,"","","","","","",225,68,,
"2026/5/7","北九州市民球場",1,"表",0,0,1,1,2,2,1,"加藤三範","左","ENEOS","片山遼大","左","梅田学園",0,0,"000",0,0,1,"ストレート","真直ぐ系",137,3,1,"",0,0,1,,"ゴロ","遊失策","C","CL",6,0,0,0,0,0,0,0,0,0,"2026/05/07 08:57:07","神里陸",0,"","","","","","",203,92,76,105
"2026/5/7","北九州市民球場",1,"表",0,0,1,2,3,1,1,"加藤三範","左","ENEOS","児玉和紀","右","梅田学園",1,0,"100",0,0,0,"ストレート","真直ぐ系",136,2,1,"",0,1,1,,"ゴロ","投犠打","C","CR",1,0,0,0,0,0,1,0,0,0,"2026/05/07 08:57:43","神里陸",0,"","","","","バント構え/バント","",203,150,47,23
"2026/5/7","北九州市民球場",1,"表",0,0,1,3,4,1,1,"加藤三範","左","ENEOS","武者壮輝","左","梅田学園",1,1,"020",1,0,0,"ストレート","真直ぐ系",136,2,1,"",0,1,1,,"ゴロ","一ゴ","C","R",3,0,0,0,0,0,2,0,0,0,"2026/05/07 08:58:27","神里陸",0,"","","","","","",220,147,83,24
"2026/5/7","北九州市民球場",1,"表",0,0,1,4,5,1,1,"加藤三範","左","ENEOS","江藤雄樹","左","梅田学園",1,1,"003",2,0,0,"ストレート","真直ぐ系",140,2,1,"空振り",0,1,0,,"",,"","",0,0,0,0,0,0,2,0,1,0,"2026/05/07 08:59:07","神里陸",0,"","","","","","",203,142,,
"2026/5/7","北九州市民球場",1,"表",0,0,1,4,6,2,1,"加藤三範","左","ENEOS","江藤雄樹","左","梅田学園",1,1,"003",2,0,1,"スライダー","曲がる系",120,14,0,"ファウル",0,0,0,,"ゴロ",,"C","L",0,0,0,0,0,0,2,0,2,0,"2026/05/07 08:59:21","神里陸",0,"","","","","","",239,31,-17,-1
"2026/5/7","北九州市民球場",1,"表",0,0,1,4,7,3,1,"加藤三範","左","ENEOS","江藤雄樹","左","梅田学園",1,1,"003",2,0,2,"ストレート","真直ぐ系",140,2,1,"",0,0,1,,"ゴロ","三ゴ","B","L",5,0,0,0,0,0,3,0,0,0,"2026/05/07 08:59:55","神里陸",0,"","","","","","",209,153,21,93
"2026/5/7","北九州市民球場",1,"裏",0,0,1,1,1,1,1,"大久保啓","右","梅田学園","飯山志夢","左","ENEOS",0,0,"000",0,0,0,"ストレート","真直ぐ系",144,3,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,0,0,1,0,"2026/05/07 09:02:26","中里高郎",0,"","","","","","",228,106,,
"2026/5/7","北九州市民球場",1,"裏",0,0,1,1,2,2,1,"大久保啓","右","梅田学園","飯山志夢","左","ENEOS",0,0,"000",0,0,1,"ツーシーム","真直ぐ系",139,23,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,1,0,"2026/05/07 09:02:41","中里高郎",0,"","","","","","",33,140,,
"2026/5/7","北九州市民球場",1,"裏",0,0,1,1,3,3,1,"大久保啓","右","梅田学園","飯山志夢","左","ENEOS",0,0,"000",0,1,1,"ストレート","真直ぐ系",145,16,0,"",0,0,1,,"ゴロ","二ゴ","C","CR",4,0,0,0,0,0,1,0,0,0,"2026/05/07 09:02:56","中里高郎",0,"","","","","","",187,41,91,50
