"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/5/8","オーヴィジョンスタジアム下関",1,"表",0,0,1,1,1,1,1,"小畠一心","右","ENEOS","風岡賢汰","左","KMGホールディングス",0,0,"000",0,0,0,"ストレート","真直ぐ系",141,23,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,0,1,0,0,"2026/05/08 15:19:47","有馬諒",0,"","","","","","",32,152,,
"2026/5/8","オーヴィジョンスタジアム下関",1,"表",0,0,1,1,2,2,1,"小畠一心","右","ENEOS","風岡賢汰","左","KMGホールディングス",0,0,"000",0,1,0,"ストレート","真直ぐ系",141,19,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,0,0,"2026/05/08 15:19:57","有馬諒",0,"","","","","","",102,298,,
"2026/5/8","オーヴィジョンスタジアム下関",1,"表",0,0,1,1,3,3,1,"小畠一心","右","ENEOS","風岡賢汰","左","KMGホールディングス",0,0,"000",0,2,0,"ストレート","真直ぐ系",140,8,1,"空振り",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,1,0,"2026/05/08 15:20:07","有馬諒",0,"","","","","","",93,127,,
"2026/5/8","オーヴィジョンスタジアム下関",1,"表",0,0,1,1,4,4,1,"小畠一心","右","ENEOS","風岡賢汰","左","KMGホールディングス",0,0,"000",0,2,1,"ストレート","真直ぐ系",141,15,0,"",0,0,1,,"フライ","左飛","A","L",7,0,0,0,0,0,1,0,0,0,"2026/05/08 15:20:20","有馬諒",0,"","","","","","",202,248,11,235
"2026/5/8","オーヴィジョンスタジアム下関",1,"表",0,0,1,2,5,1,1,"小畠一心","右","ENEOS","角田隆也","右","KMGホールディングス",0,0,"000",1,0,0,"ストレート","真直ぐ系",145,23,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,1,1,0,0,"2026/05/08 15:20:51","有馬諒",0,"","","","","","",36,181,,
"2026/5/8","オーヴィジョンスタジアム下関",1,"表",0,0,1,2,6,2,1,"小畠一心","右","ENEOS","角田隆也","右","KMGホールディングス",0,0,"000",1,1,0,"ストレート","真直ぐ系",143,9,1,"ファウル",0,0,0,,"ゴロ",,"C","L",0,0,0,0,0,0,1,1,1,0,"2026/05/08 15:21:02","有馬諒",0,"","","","","","",83,107,-21,7
"2026/5/8","オーヴィジョンスタジアム下関",1,"表",0,0,1,2,7,3,1,"小畠一心","右","ENEOS","角田隆也","右","KMGホールディングス",0,0,"000",1,1,1,"スライダー","曲がる系",128,11,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,1,2,1,0,"2026/05/08 15:21:25","有馬諒",0,"","","","","","",261,194,,
"2026/5/8","オーヴィジョンスタジアム下関",1,"表",0,0,1,2,8,4,1,"小畠一心","右","ENEOS","角田隆也","右","KMGホールディングス",0,0,"000",1,2,1,"スライダー","曲がる系",127,6,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,1,2,2,0,"2026/05/08 15:21:43","有馬諒",0,"","","","","","",164,77,,
"2026/5/8","オーヴィジョンスタジアム下関",1,"表",0,0,1,2,9,5,1,"小畠一心","右","ENEOS","角田隆也","右","KMGホールディングス",0,0,"000",1,2,2,"ストレート","真直ぐ系",143,6,1,"",0,0,1,,"ゴロ","一ゴ","A","R",3,0,0,0,0,0,2,0,0,0,"2026/05/08 15:21:59","有馬諒",0,"","","","","","",167,91,111,31
"2026/5/8","オーヴィジョンスタジアム下関",1,"表",0,0,1,3,10,1,1,"小畠一心","右","ENEOS","三野原愛望","左","KMGホールディングス",0,0,"000",2,0,0,"カーブ","曲がる系",110,11,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,2,1,0,0,"2026/05/08 15:22:32","有馬諒",0,"","","","","","",296,216,,
"2026/5/8","オーヴィジョンスタジアム下関",1,"表",0,0,1,3,11,2,1,"小畠一心","右","ENEOS","三野原愛望","左","KMGホールディングス",0,0,"000",2,1,0,"ストレート","真直ぐ系",141,9,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,2,1,1,0,"2026/05/08 15:22:43","有馬諒",0,"","","","","","",96,103,,
"2026/5/8","オーヴィジョンスタジアム下関",1,"表",0,0,1,3,12,3,1,"小畠一心","右","ENEOS","三野原愛望","左","KMGホールディングス",0,0,"000",2,1,1,"カーブ","曲がる系",114,12,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,2,2,1,0,"2026/05/08 15:22:56","有馬諒",0,"","","","","","",236,155,,
"2026/5/8","オーヴィジョンスタジアム下関",1,"表",0,0,1,3,13,4,1,"小畠一心","右","ENEOS","三野原愛望","左","KMGホールディングス",0,0,"000",2,2,1,"ストレート","真直ぐ系",141,5,1,"ファウル",0,0,0,,"フライ",,"C","L",0,0,0,0,0,0,2,2,2,0,"2026/05/08 15:23:11","有馬諒",0,"","","","","","",129,163,-41,-4
