"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/5/9","北九州市民球場",1,"表",0,0,1,1,1,1,1,"林翔大","右","ENEOS","藤江亮太","右","Honda鈴鹿",0,0,"000",0,0,0,"カットボール","曲がる系",140,17,0,"空振り",0,1,0,,"",,"","",0,0,0,0,0,0,0,0,1,0,"2026/05/09 11:48:02","有馬諒",0,"","","","","","",147,243,,
"2026/5/9","北九州市民球場",1,"表",0,0,1,1,2,2,1,"林翔大","右","ENEOS","藤江亮太","右","Honda鈴鹿",0,0,"000",0,0,1,"チェンジアップ","落ちる系",121,9,1,"",0,0,1,,"フライ","遊飛","B","L",6,0,0,0,0,0,1,0,0,0,"2026/05/09 11:48:14","有馬諒",0,"","","","","","",118,65,48,157
"2026/5/9","北九州市民球場",1,"表",0,0,1,2,3,1,1,"林翔大","右","ENEOS","中川拓紀","左","Honda鈴鹿",0,0,"000",1,0,0,"ストレート","真直ぐ系",146,6,1,"",0,1,1,,"ゴロ","右安","A","R",9,0,0,0,0,0,1,0,0,0,"2026/05/09 11:48:46","有馬諒",0,"","","","","","",149,90,171,47
"2026/5/9","北九州市民球場",1,"表",0,0,1,3,4,1,1,"林翔大","右","ENEOS","畔上翔","左","Honda鈴鹿",1,0,"100",1,0,0,"ストレート","真直ぐ系",144,16,0,"ファウル",0,1,0,,"フライ",,"B","L",0,0,0,0,0,0,1,0,1,0,"2026/05/09 11:49:32","有馬諒",0,"","","","","","",183,35,-38,32
"2026/5/9","北九州市民球場",1,"表",0,0,1,3,5,2,1,"林翔大","右","ENEOS","畔上翔","左","Honda鈴鹿",1,0,"100",1,0,1,"スライダー","曲がる系",121,15,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,1,1,1,0,"2026/05/09 11:49:54","有馬諒",0,"","","","","","",232,288,,
"2026/5/9","北九州市民球場",1,"表",0,0,1,3,6,3,1,"林翔大","右","ENEOS","畔上翔","左","Honda鈴鹿",1,0,"100",1,1,1,"チェンジアップ","落ちる系",129,20,0,"空振り",0,0,0,,"",,"","",0,0,0,0,0,0,1,1,2,0,"2026/05/09 11:50:12","有馬諒",0,"","","","","","",82,20,,
"2026/5/9","北九州市民球場",1,"表",0,0,1,3,7,4,1,"林翔大","右","ENEOS","畔上翔","左","Honda鈴鹿",1,0,"100",1,1,2,"チェンジアップ","落ちる系",130,12,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,1,2,2,0,"2026/05/09 11:50:35","有馬諒",0,"","","","","","",268,159,,
"2026/5/9","北九州市民球場",1,"表",0,0,1,3,8,5,1,"林翔大","右","ENEOS","畔上翔","左","Honda鈴鹿",1,0,"100",1,2,2,"チェンジアップ","落ちる系",130,16,0,"",0,0,1,,"ゴロ","二ゴ","C","CR",4,0,0,0,0,0,2,0,0,0,"2026/05/09 11:50:57","有馬諒",0,"","","","","ヒットエンドラン","",219,39,115,61
"2026/5/9","北九州市民球場",1,"表",0,0,1,4,9,1,1,"林翔大","右","ENEOS","近藤遼一","右","Honda鈴鹿",1,1,"020",2,0,0,"ストレート","真直ぐ系",146,2,1,"ファウル",0,1,0,,"ライナー",,"B","R",0,0,0,0,0,0,2,0,1,0,"2026/05/09 11:51:40","有馬諒",0,"","","","","","",208,168,1,-43
"2026/5/9","北九州市民球場",1,"表",0,0,1,4,9,1,1,"林翔大","右","ENEOS","近藤遼一","右","Honda鈴鹿",1,1,"020",2,0,1,"","",0,0,0,"",0,1,0,,"",,"","",0,0,0,0,0,0,2,0,1,2,"2026/05/09 11:52:04","有馬諒",0,"","","","","","",,,,
