"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/5/10","北九州市民球場",1,"表",0,0,1,1,1,1,1,"中野大虎","右","ENEOS","三浦良裕","左","Honda",0,0,"000",0,0,0,"スライダー","曲がる系",126,16,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,0,1,0,0,"2026/05/10 15:59:11","有馬諒",0,"","","","","","",189,54,,
"2026/5/10","北九州市民球場",1,"表",0,0,1,1,2,2,1,"中野大虎","右","ENEOS","三浦良裕","左","Honda",0,0,"000",0,1,0,"スプリット","落ちる系",133,3,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,1,0,"2026/05/10 15:59:22","有馬諒",0,"","","","","","",233,105,,
"2026/5/10","北九州市民球場",1,"表",0,0,1,1,3,3,1,"中野大虎","右","ENEOS","三浦良裕","左","Honda",0,0,"000",0,1,1,"スライダー","曲がる系",126,6,1,"",0,0,1,,"ゴロ","二ゴ","","CR",4,0,0,0,0,0,1,0,0,0,"2026/05/10 15:59:35","有馬諒",0,"","","","","","",137,115,122,58
"2026/5/10","北九州市民球場",1,"表",0,0,1,2,4,1,1,"中野大虎","右","ENEOS","小口仁太郎","右","Honda",0,0,"000",1,0,0,"ストレート","真直ぐ系",145,9,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,1,0,1,0,"2026/05/10 16:00:05","有馬諒",0,"","","","","","",119,83,,
"2026/5/10","北九州市民球場",1,"表",0,0,1,2,5,2,1,"中野大虎","右","ENEOS","小口仁太郎","右","Honda",0,0,"000",1,0,1,"ストレート","真直ぐ系",146,23,0,"ファウル",0,0,0,,"フライ",,"B","R",0,0,0,0,0,0,1,0,2,0,"2026/05/10 16:00:17","有馬諒",0,"","","","","","",36,158,181,-42
"2026/5/10","北九州市民球場",1,"表",0,0,1,2,6,3,1,"中野大虎","右","ENEOS","小口仁太郎","右","Honda",0,0,"000",1,0,2,"スプリット","落ちる系",133,3,1,"ファウル",0,0,0,,"ゴロ",,"C","L",0,0,0,0,0,0,1,0,2,0,"2026/05/10 16:00:40","有馬諒",0,"","","","","","",219,109,-37,23
"2026/5/10","北九州市民球場",1,"表",0,0,1,2,7,4,1,"中野大虎","右","ENEOS","小口仁太郎","右","Honda",0,0,"000",1,0,2,"スライダー","曲がる系",124,8,1,"",0,0,1,,"フライ","中安","C","C",8,0,0,0,0,0,1,0,0,0,"2026/05/10 16:01:02","有馬諒",0,"","","","","","",98,148,157,134
"2026/5/10","北九州市民球場",1,"表",0,0,1,3,8,1,1,"中野大虎","右","ENEOS","鈴木薫","左","Honda",1,0,"100",1,0,0,"スライダー","曲がる系",124,2,1,"ファウル",0,1,0,,"フライ",,"C","L",0,0,0,0,0,0,1,0,1,0,"2026/05/10 16:01:45","有馬諒",0,"","","","","","",185,140,-41,-22
"2026/5/10","北九州市民球場",1,"表",0,0,1,3,9,2,1,"中野大虎","右","ENEOS","鈴木薫","左","Honda",1,0,"100",1,0,1,"スプリット","落ちる系",133,16,0,"空振り",0,0,0,,"",,"","",0,0,0,0,0,0,1,0,2,0,"2026/05/10 16:02:10","有馬諒",0,"","","","","","",208,56,,
"2026/5/10","北九州市民球場",1,"表",0,0,1,3,10,3,1,"中野大虎","右","ENEOS","鈴木薫","左","Honda",1,0,"100",1,0,2,"スライダー","曲がる系",124,9,1,"",0,0,1,,"フライ","右飛","A","CR",9,0,0,0,0,0,2,0,0,0,"2026/05/10 16:02:37","有馬諒",0,"","","","","","",85,103,246,86
"2026/5/10","北九州市民球場",1,"表",0,0,1,4,11,1,1,"中野大虎","右","ENEOS","山下滉介","右","Honda",1,0,"100",2,0,0,"ストレート","真直ぐ系",145,9,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,2,0,1,0,"2026/05/10 16:03:23","有馬諒",0,"","","","","","",98,109,,
"2026/5/10","北九州市民球場",1,"表",0,0,1,4,12,2,1,"中野大虎","右","ENEOS","山下滉介","右","Honda",1,0,"100",2,0,1,"ストレート","真直ぐ系",144,19,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,2,1,1,0,"2026/05/10 16:03:44","有馬諒",0,"","","","","","",76,310,,
"2026/5/10","北九州市民球場",1,"表",0,0,1,4,13,3,1,"中野大虎","右","ENEOS","山下滉介","右","Honda",1,0,"100",2,1,1,"スライダー","曲がる系",128,25,0,"ボール",1,0,0,,"",,"","",0,0,0,0,0,0,3,2,1,0,"2026/05/10 16:04:07","有馬諒",0,"","","","","盗塁/盗塁失敗","",48,44,,
"2026/5/10","北九州市民球場",1,"裏",0,0,1,1,1,1,1,"千葉汐凱","左","Honda","飯山志夢","左","ENEOS",0,0,"000",0,0,0,"ストレート","真直ぐ系",139,1,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,0,0,1,0,"2026/05/10 16:06:35","辻野雄大",0,"","","","","","",204,200,,
