"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/5/10","北九州市民球場",1,"表",0,0,1,1,1,1,1,"加藤三範","左","ENEOS","山本卓弥","左","Honda熊本",0,0,"000",0,0,0,"ストレート","真直ぐ系",133,3,1,"",0,1,1,,"フライ","右飛","B","CR",9,0,0,0,0,0,1,0,0,0,"2026/05/10 08:55:20","有馬諒",0,"","","","","","",191,93,203,101
"2026/5/10","北九州市民球場",1,"表",0,0,1,2,2,1,1,"加藤三範","左","ENEOS","江崎大輔","左","Honda熊本",0,0,"000",1,0,0,"ストレート","真直ぐ系",134,16,0,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,1,0,1,0,"2026/05/10 08:56:05","有馬諒",0,"","","","","","",198,59,,
"2026/5/10","北九州市民球場",1,"表",0,0,1,2,3,2,1,"加藤三範","左","ENEOS","江崎大輔","左","Honda熊本",0,0,"000",1,0,1,"ストレート","真直ぐ系",135,5,1,"ファウル",0,0,0,,"フライ",,"B","L",0,0,0,0,0,0,1,0,2,0,"2026/05/10 08:56:14","有馬諒",0,"","","","","","",176,134,-38,9
"2026/5/10","北九州市民球場",1,"表",0,0,1,2,4,3,1,"加藤三範","左","ENEOS","江崎大輔","左","Honda熊本",0,0,"000",1,0,2,"スライダー","曲がる系",120,3,1,"空振り",0,0,1,,"","空三振","","",2,0,0,0,0,0,2,0,0,0,"2026/05/10 08:56:35","有馬諒",0,"","","","","","",230,95,,
"2026/5/10","北九州市民球場",1,"表",0,0,1,3,5,1,1,"加藤三範","左","ENEOS","稲垣翔太","左","Honda熊本",0,0,"000",2,0,0,"スライダー","曲がる系",122,14,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,2,1,0,0,"2026/05/10 08:57:01","有馬諒",0,"","","","","","",259,8,,
"2026/5/10","北九州市民球場",1,"表",0,0,1,3,6,2,1,"加藤三範","左","ENEOS","稲垣翔太","左","Honda熊本",0,0,"000",2,1,0,"ストレート","真直ぐ系",137,16,0,"",0,0,1,,"ゴロ","一ゴ","C","R",3,0,0,0,0,0,3,0,0,0,"2026/05/10 08:57:17","有馬諒",0,"","","","","","",231,49,105,14
"2026/5/10","北九州市民球場",1,"裏",0,0,1,1,1,1,1,"横川楓薫","左","Honda熊本","飯山志夢","左","ENEOS",0,0,"000",0,0,0,"ストレート","真直ぐ系",141,15,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,0,1,0,0,"2026/05/10 08:59:43","蓑尾海斗",0,"","","","","","",223,239,,
"2026/5/10","北九州市民球場",1,"裏",0,0,1,1,2,2,1,"横川楓薫","左","Honda熊本","飯山志夢","左","ENEOS",0,0,"000",0,1,0,"ストレート","真直ぐ系",141,21,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,0,0,"2026/05/10 08:59:55","蓑尾海斗",0,"","","","","","",27,253,,
"2026/5/10","北九州市民球場",1,"裏",0,0,1,1,3,3,1,"横川楓薫","左","Honda熊本","飯山志夢","左","ENEOS",0,0,"000",0,2,0,"スプリット","落ちる系",131,9,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,1,0,"2026/05/10 09:00:08","蓑尾海斗",0,"","","","","","",77,65,,
"2026/5/10","北九州市民球場",1,"裏",0,0,1,1,4,4,1,"横川楓薫","左","Honda熊本","飯山志夢","左","ENEOS",0,0,"000",0,2,1,"カットボール","曲がる系",131,2,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,2,0,"2026/05/10 09:00:23","蓑尾海斗",0,"","","","","","",193,134,,
