"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/5/21","横浜スタジアム",1,"表",0,0,1,1,1,1,1,"林翔大","右","ENEOS","松本渉","左","日本生命",0,0,"000",0,0,0,"ストレート","真直ぐ系",143,2,1,"",0,1,1,,"ゴロ","遊ゴ","C","CL",6,0,0,0,0,0,1,0,0,0,"2026/05/21 17:08:56","有馬諒",0,"","","","","","",217,165,61,111
"2026/5/21","横浜スタジアム",1,"表",0,0,1,2,2,1,1,"林翔大","右","ENEOS","木倉朋輝","右","日本生命",0,0,"000",1,0,0,"カットボール","曲がる系",137,17,0,"ボール",0,1,0,,"",,"","",0,0,0,0,0,0,1,1,0,0,"2026/05/21 17:09:29","有馬諒",0,"","","","","","",131,287,,
"2026/5/21","横浜スタジアム",1,"表",0,0,1,2,3,2,1,"林翔大","右","ENEOS","木倉朋輝","右","日本生命",0,0,"000",1,1,0,"カットボール","曲がる系",139,6,1,"ファウル",0,0,0,,"フライ",,"B","R",0,0,0,0,0,0,1,1,1,0,"2026/05/21 17:09:43","有馬諒",0,"","","","","","",122,90,74,-41
"2026/5/21","横浜スタジアム",1,"表",0,0,1,2,4,3,1,"林翔大","右","ENEOS","木倉朋輝","右","日本生命",0,0,"000",1,1,1,"ストレート","真直ぐ系",145,6,1,"ファウル",0,0,0,,"フライ",,"B","R",0,0,0,0,0,0,1,1,2,0,"2026/05/21 17:10:02","有馬諒",0,"","","","","","",147,120,57,-43
"2026/5/21","横浜スタジアム",1,"表",0,0,1,2,5,4,1,"林翔大","右","ENEOS","木倉朋輝","右","日本生命",0,0,"000",1,1,2,"スプリット","落ちる系",139,18,0,"",0,0,1,,"ゴロ","三ゴ","C","L",5,0,0,0,0,0,2,0,0,0,"2026/05/21 17:10:26","有馬諒",0,"","","","","","",136,39,24,91
"2026/5/21","横浜スタジアム",1,"表",0,0,1,3,6,1,1,"林翔大","右","ENEOS","藤原夏暉","左","日本生命",0,0,"000",2,0,0,"スプリット","落ちる系",132,3,1,"空振り",0,1,0,,"",,"","",0,0,0,0,0,0,2,0,1,0,"2026/05/21 17:11:06","有馬諒",0,"","","","","","",195,88,,
"2026/5/21","横浜スタジアム",1,"表",0,0,1,3,7,2,1,"林翔大","右","ENEOS","藤原夏暉","左","日本生命",0,0,"000",2,0,1,"カーブ","曲がる系",117,16,0,"空振り",0,0,0,,"",,"","",0,0,0,0,0,0,2,0,2,0,"2026/05/21 17:11:17","有馬諒",0,"","","","","","",186,7,,
"2026/5/21","横浜スタジアム",1,"表",0,0,1,3,8,3,1,"林翔大","右","ENEOS","藤原夏暉","左","日本生命",0,0,"000",2,0,2,"ストレート","真直ぐ系",141,16,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,2,1,2,0,"2026/05/21 17:11:45","有馬諒",0,"","","","","","",223,4,,
"2026/5/21","横浜スタジアム",1,"表",0,0,1,3,9,4,1,"林翔大","右","ENEOS","藤原夏暉","左","日本生命",0,0,"000",2,1,2,"カーブ","曲がる系",118,2,1,"",0,0,1,,"ライナー","左安","B","L",7,0,0,0,0,0,2,0,0,0,"2026/05/21 17:12:06","有馬諒",0,"","","","","","",217,162,55,179
"2026/5/21","横浜スタジアム",1,"表",0,0,1,4,10,1,1,"林翔大","右","ENEOS","竹村陸","右","日本生命",1,0,"100",2,0,0,"カットボール","曲がる系",139,6,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,2,0,1,0,"2026/05/21 17:12:49","有馬諒",0,"","","","","","",134,98,,
