"日付","球場","イニング","表/裏","ホーム得点","ビジター得点","打席","打者数","球数","打席内球数","登板順","投手名","投手投げ手左右","投手チーム","打者名","打者打席左右","打者チーム","走者有無","走者得点圏","走者状況","アウトカウント","ボールカウント","ストライクカウント","球種","球種系統","球速","投球コース","ストライクゾーン","投球結果","盗塁有無","初球","結果球","逆球","打球性質","打席結果","打球ランク","打球方向","第一捕球者","得点有無","得点数","打点数","投球後ホーム得点","投球後ビジター得点","投球後アウトカウント","投球後ボールカウント","投球後ストライクカウント","牽制先","タイムスタンプ","捕手名","自責点","責任投手1","責任投手2","責任投手3","責任投手4","作戦","メモ","投球位置x座標","投球位置y座標","打球位置x座標","打球位置y座標"
"2026/5/27","企業グランド",1,"表",0,0,1,1,1,1,1,"林翔大","右","ENEOS","山形球道","左","明治安田",0,0,"000",0,0,0,"ストレート","真直ぐ系",146,1,1,"ファウル",0,1,0,,"ライナー",,"B","R",0,0,0,0,0,0,0,0,1,0,"2026/05/27 12:24:04","有馬諒",0,"","","","","","",196,183,-27,-27
"2026/5/27","企業グランド",1,"表",0,0,1,1,2,2,1,"林翔大","右","ENEOS","山形球道","左","明治安田",0,0,"000",0,0,1,"ストレート","真直ぐ系",144,20,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,1,0,"2026/05/27 12:24:21","有馬諒",0,"","","","","","",71,23,,
"2026/5/27","企業グランド",1,"表",0,0,1,1,3,3,1,"林翔大","右","ENEOS","山形球道","左","明治安田",0,0,"000",0,1,1,"チェンジアップ","落ちる系",129,8,1,"見送り",0,0,0,,"",,"","",0,0,0,0,0,0,0,1,2,0,"2026/05/27 12:24:35","有馬諒",0,"","","","","","",78,176,,
"2026/5/27","企業グランド",1,"表",0,0,1,1,4,4,1,"林翔大","右","ENEOS","山形球道","左","明治安田",0,0,"000",0,1,2,"スプリット","落ちる系",138,18,0,"ファウル",0,0,0,,"ライナー",,"B","R",0,0,0,0,0,0,0,1,2,0,"2026/05/27 12:24:54","有馬諒",0,"","","","","","",153,48,87,-33
"2026/5/27","企業グランド",1,"表",0,0,1,1,5,5,1,"林翔大","右","ENEOS","山形球道","左","明治安田",0,0,"000",0,1,2,"スライダー","曲がる系",125,11,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,0,2,2,0,"2026/05/27 12:25:22","有馬諒",0,"","","","","","",251,193,,
"2026/5/27","企業グランド",1,"表",0,0,1,1,6,6,1,"林翔大","右","ENEOS","山形球道","左","明治安田",0,0,"000",0,2,2,"カーブ","曲がる系",116,12,0,"ファウル",0,0,0,,"ゴロ",,"C","R",0,0,0,0,0,0,0,2,2,0,"2026/05/27 12:25:39","有馬諒",0,"","","","","","",249,170,97,-24
"2026/5/27","企業グランド",1,"表",0,0,1,1,7,7,1,"林翔大","右","ENEOS","山形球道","左","明治安田",0,0,"000",0,2,2,"チェンジアップ","落ちる系",130,11,0,"",0,0,1,,"ゴロ","投ゴ","C","R",1,0,0,0,0,0,1,0,0,0,"2026/05/27 12:26:08","有馬諒",0,"","","","","","",247,217,58,12
"2026/5/27","企業グランド",1,"表",0,0,1,2,8,1,1,"林翔大","右","ENEOS","福岡高輝","左","明治安田",0,0,"000",1,0,0,"ストレート","真直ぐ系",146,3,1,"見送り",0,1,0,,"",,"","",0,0,0,0,0,0,1,0,1,0,"2026/05/27 12:26:44","有馬諒",0,"","","","","","",220,99,,
"2026/5/27","企業グランド",1,"表",0,0,1,2,9,2,1,"林翔大","右","ENEOS","福岡高輝","左","明治安田",0,0,"000",1,0,1,"カットボール","曲がる系",140,7,1,"ファウル",0,0,0,,"ゴロ",,"C","R",0,0,0,0,0,0,1,0,2,0,"2026/05/27 12:26:56","有馬諒",0,"","","","","","",77,190,120,-28
"2026/5/27","企業グランド",1,"表",0,0,1,2,10,3,1,"林翔大","右","ENEOS","福岡高輝","左","明治安田",0,0,"000",1,0,2,"ストレート","真直ぐ系",143,20,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,1,1,2,0,"2026/05/27 12:27:25","有馬諒",0,"","","","","","",64,17,,
"2026/5/27","企業グランド",1,"表",0,0,1,2,11,4,1,"林翔大","右","ENEOS","福岡高輝","左","明治安田",0,0,"000",1,1,2,"ストレート","真直ぐ系",145,3,1,"ファウル",0,0,0,,"フライ",,"B","L",0,0,0,0,0,0,1,1,2,0,"2026/05/27 12:27:45","有馬諒",0,"","","","","","",208,79,-42,65
"2026/5/27","企業グランド",1,"表",0,0,1,2,12,5,1,"林翔大","右","ENEOS","福岡高輝","左","明治安田",0,0,"000",1,1,2,"スライダー","曲がる系",127,16,0,"ボール",0,0,0,,"",,"","",0,0,0,0,0,0,1,2,2,0,"2026/05/27 12:28:10","有馬諒",0,"","","","","","",185,38,,
